phrase,concept,most_sim_1,score_1,most_sim_2,score_2,most_sim_3,score_3,most_sim_4,score_4,most_sim_5,score_5,most_sim_6,score_6,most_sim_7,score_7,most_sim_8,score_8,most_sim_9,score_9,most_sim_10,score_10
foul,comments,fell,0.6026079654693604,fight,0.5496312379837036,baseball,0.5467586517333984,basketball,0.5196508169174194,grenade,0.5105007886886597,soccer,0.5093399286270142,innings,0.5062998533248901,bowl,0.5055125951766968,wounded,0.5041651129722595,knock,0.5007160902023315
prefix,comments,suffix,0.815711259841919,prefixed,0.6255654692649841,sufix,0.5657259225845337,servier,0.5207291841506958,preffix,0.48590582609176636,suf,0.4841441810131073,suff,0.46987709403038025,taglib,0.4644847512245178,subsequence,0.45535820722579956,lcp,0.42772606015205383
increase,comments,decrease,0.9256108999252319,grow,0.6869266033172607,reduce,0.6485506892204285,diminish,0.6252497434616089,lower,0.5919424295425415,exceed,0.5630015134811401,significant,0.5598627328872681,large,0.5456103086471558,dramatical,0.5443617105484009,high,0.5431516170501709
digit,comments,decimal,0.5941548347473145,character,0.5762051343917847,letter,0.5670833587646484,hexadecimal,0.5583065152168274,numeral,0.5553814172744751,number,0.5317562818527222,alphanumeric,0.5306955575942993,two-digit,0.5256314277648926,octal,0.5239188075065613,isdigit,0.5023443698883057
vixie,comments,cron-like,0.48667478561401367,crontab,0.465709924697876,hwclock,0.44947338104248047,autosy,0.44473975896835327,cron,0.44335994124412537,crone,0.44167280197143555,control-m,0.44012024998664856,coghlan,0.4312112629413605,debian-based,0.4290252923965454,incron,0.4257839620113373
qlen,comments,qdisc,0.6925377249717712,pfifo,0.6611024141311646,noqueue,0.6324012875556946,mtu,0.5612330436706543,promisc,0.5451445579528809,rtnetlink,0.5090698003768921,overlimit,0.4957466721534729,netif,0.4883078932762146,brd,0.46481674909591675,ifru,0.4560304880142212
succession,comments,repeated,0.5365885496139526,successive,0.4910120964050293,twice,0.4774029552936554,consecutive,0.45595648884773254,rapid,0.45303624868392944,thereafter,0.4139547646045685,reaction,0.4060984253883362,thrice,0.4017683267593384,repeat,0.3959321081638336,simultaneous,0.3955652117729187
incremented,comments,decremented,0.8441779613494873,increment,0.8051191568374634,decrement,0.7968961000442505,incrementation,0.6763612031936646,increament,0.5718004107475281,counter,0.5539827942848206,decrementation,0.5093222856521606,incriment,0.49410223960876465,overwritten,0.4843295216560364,incrementer,0.4556875228881836
elegant,comments,idiomatic,0.611542820930481,neat,0.5903548002243042,awkward,0.5751469135284424,straight-forward,0.5743160247802734,clumsy,0.5737494826316833,convolute,0.5686208605766296,cleanest,0.5672239065170288,pythonic,0.5663896799087524,concise,0.5646781921386719,nicer,0.5574280619621277
end-position,comments,begin,0.6050249338150024,start,0.5531842708587646,postion,0.48839420080184937,offset,0.486588716506958,else,0.46838679909706116,left,0.44984087347984314,angle,0.4423679709434509,current,0.40655308961868286,mid,0.40348494052886963,next,0.4002377986907959
increasing,comments,nowaday,0.738832414150238,advent,0.6861735582351685,widespread,0.6663823127746582,commonplace,0.6624587774276733,proliferation,0.609698474407196,rapid,0.6035964488983154,mainstream,0.5956273674964905,emerge,0.5906490087509155,especial,0.5843576788902283,grown,0.5814367532730103
protocol-connect,comments,connection,0.6049676537513733,tcp,0.5935928821563721,disconnect,0.5876320600509644,port,0.5705849528312683,socket,0.5699594020843506,tunnel,0.5365029573440552,connector,0.515461266040802,telnet,0.511860728263855,udp,0.505912721157074,host,0.505339503288269
reported,comments,rumored,0.5921459197998047,unofficial,0.5682640075683594,shocked,0.5668054819107056,ironical,0.5645812749862671,supposed,0.551959753036499,circa,0.5486605167388916,boast,0.5241022706031799,notoriou,0.5203649401664734,worldwide,0.5200883150100708,arrested,0.508309006690979
server-sent,comments,send,0.7474040985107422,sever,0.6875306367874146,receive,0.6700205206871033,recieve,0.592841625213623,recieved,0.5706226229667664,client,0.5505197048187256,incom,0.5503274202346802,sended,0.5310442447662354,webserver,0.5279182195663452,relayed,0.5213133096694946
data->stateresume_from,comments,mydatum,0.4913056790828705,raw,0.4289878308773041,dset,0.4279156029224396,mdatum,0.42510223388671875,json,0.4218761920928955,newdatum,0.4175471067428589,alldatum,0.4144230782985687,tabular,0.41018083691596985,getdatum,0.40126800537109375,yourdatum,0.39535319805145264
replace,comments,replacement,0.7310214042663574,replacer,0.6307079792022705,substitute,0.591967761516571,replacewith,0.551566481590271,newstr,0.5497244000434875,gsub,0.5476663112640381,regex,0.5363080501556396,repalce,0.532037615776062,ireplace,0.5146343111991882,occurence,0.514622688293457
brought,comments,br,0.8463218212127686,forth,0.5834460854530334,attract,0.5190851092338562,realise,0.5054523348808289,revived,0.5022032856941223,struck,0.4922875165939331,forefront,0.47355154156684875,comeback,0.4719858765602112,stayed,0.47128725051879883,emerge,0.46758633852005005
unix,comments,nix,0.7804614901542664,unix-like,0.7525055408477783,linux,0.7428736686706543,unix-based,0.6802312135696411,solari,0.6646934747695923,posix,0.6339614391326904,unix-style,0.6215035915374756,hp-ux,0.5696423053741455,cygwin,0.567936897277832,hpux,0.5655169486999512
unit,comments,nunit,0.44644802808761597,test,0.43962064385414124,unit-test,0.4297999143600464,dunit,0.42538225650787354,subunit,0.4207350015640259,cunit,0.4187007248401642,milliliter,0.4118782579898834,unittype,0.4106332063674927,testunit,0.40460407733917236,phpunit,0.40334051847457886
logmsg,comments,logmessage,0.6257808208465576,errlog,0.591295599937439,debuglog,0.5705535411834717,logdatum,0.5689454674720764,logv,0.5681788921356201,mylog,0.5563084483146667,logfilename,0.5522037744522095,closelog,0.5416314601898193,logpath,0.5411529541015625,writelog,0.541107177734375
tokenize,comments,tokeniz,0.7834150791168213,tokenized,0.7395570874214172,tokenise,0.7079106569290161,tokenizer,0.7062859535217285,tokenization,0.6766551733016968,lemmatize,0.5995408296585083,nltk,0.5969863533973694,tok,0.5720768570899963,tokeniser,0.565768301486969,tokenis,0.5589268207550049
isatty,comments,fdopen,0.5871090888977051,fileno,0.571624755859375,setvbuf,0.5396977663040161,forkpty,0.5388646125793457,freopen,0.5371321439743042,kbhit,0.5149047374725342,tty,0.5019003748893738,fcntl,0.5013570189476013,line-buffered,0.5002950429916382,fpurge,0.4872742295265198
relax,comments,relaxed,0.8099095225334167,impose,0.6711140871047974,loosen,0.6589211225509644,stricter,0.5880159139633179,restrictive,0.5710635185241699,tighten,0.5595344305038452,weaker,0.5535460710525513,weaken,0.5490407943725586,stringent,0.5418769121170044,enforce,0.5122190713882446
hereby,comments,licensor,0.6189135313034058,licensee,0.6056855916976929,license,0.5616424083709717,obligation,0.5385534167289734,herein,0.5383120775222778,prohibition,0.5175445079803467,licence,0.5153955817222595,copyright,0.5087133646011353,non-exclusive,0.5059810876846313,non-commercial,0.4960203468799591
hurt,comments,harm,0.7085610032081604,sacrifice,0.6548721790313721,terrible,0.6132490038871765,improve,0.5972059965133667,suck,0.5968872308731079,bother,0.5767784118652344,detrimental,0.5702764987945557,worry,0.5696464776992798,degrade,0.5560524463653564,horrible,0.5558832883834839
midst,comments,troubled,0.556411862373352,struck,0.5529639720916748,midway,0.5395915508270264,crisi,0.5357480049133301,despair,0.5257153511047363,ensued,0.5205109119415283,spontaneous,0.5192440748214722,embrace,0.5185213088989258,disrupted,0.5134570002555847,upheaval,0.5070462226867676
hold,comments,held,0.5616170763969421,imp,0.5289045572280884,satisfy,0.5187680721282959,satisfied,0.5096043348312378,suppose,0.4718465209007263,proposition,0.4432331919670105,hence,0.43593674898147583,assume,0.4340759515762329,coincide,0.4207857549190521,monotonicity,0.4159967303276062
example,comments,exmaple,0.5586161017417908,contrive,0.5077275633811951,illustration,0.48520833253860474,demo,0.4782637655735016,illustrate,0.46945780515670776,exampe,0.45157957077026367,illustrative,0.4420665204524994,snippet,0.43950408697128296,hypothetical,0.4335770010948181,made-up,0.42167654633522034
dtor,comments,destructor,0.6813449859619141,destruct,0.6094846725463867,ctor,0.6031674146652222,cxa,0.5920731425285339,deconstructor,0.5703439712524414,vtable,0.521604597568512,copy-constructor,0.5170620679855347,vptr,0.5096637606620789,desctructor,0.5057373046875,fini,0.4907350540161133
smtp,comments,mail,0.6896337270736694,smpt,0.650707483291626,imap,0.6128689050674438,sendmail,0.5963845252990723,mailserver,0.5761008262634277,starttl,0.5655884742736816,mailer,0.5572234392166138,mailhost,0.5562927722930908,smtpout,0.5421842336654663,gmail,0.5373182892799377
haproxy-protocol,comments,tcp,0.5762749910354614,application-layer,0.5691744685173035,maxconn,0.5442582368850708,stunnel,0.527105450630188,spdy,0.5261327028274536,tcp-based,0.5246753692626953,protocal,0.522364616394043,ejabberd,0.5190338492393494,udp,0.5151315331459045,udp-based,0.5104082822799683
absolute,comments,relative,0.7758587002754211,abolute,0.49849188327789307,position,0.478773295879364,aboslute,0.4702174663543701,margin,0.4696052074432373,top,0.45613759756088257,postion,0.4366994798183441,solid,0.43268251419067383,positon,0.43055152893066406,realtive,0.4300234317779541
downstream,comments,upstream,0.6498277187347412,down-stream,0.5307095050811768,feeder,0.3919185996055603,backpressure,0.390871524810791,fed,0.3906068205833435,destine,0.38954535126686096,nlp,0.3861710727214813,end-to-end,0.37972286343574524,relayed,0.3761247396469116,jrunx,0.37485945224761963
feature,comments,feat,0.5269532799720764,functionality,0.42632803320884705,subfeature,0.42311328649520874,feture,0.420579731464386,featureset,0.4159828722476959,classifier,0.4124123156070709,featureid,0.3979843556880951,featuer,0.38554155826568604,feauture,0.3852321207523346,ability,0.3826533854007721
machine,comments,workstation,0.5971323251724243,computer,0.5235012769699097,vmware,0.5049036741256714,mware,0.4984157681465149,virutal,0.49423110485076904,mashine,0.4934733808040619,virtualbox,0.47996777296066284,hyper-v,0.47827398777008057,x86,0.4552028179168701,ubuntu,0.4537754952907562
winsock,comments,wsock,0.6120294332504272,tcpip,0.6044446229934692,wsa,0.5810414552688599,iphlpapi,0.5621037483215332,mswsock,0.5391830205917358,wsaeconnreset,0.5258820056915283,closesocket,0.525477409362793,iocp,0.5178412795066833,wsaewouldblock,0.5057795643806458,netinet,0.5023653507232666
credential,comments,cred,0.7251786589622498,authentication,0.6284043788909912,authenticate,0.5932384133338928,auth,0.5757927894592285,password,0.5527827143669128,crediential,0.5413477420806885,credentail,0.5363016724586487,authorization,0.536178469657898,ntlm,0.5222210884094238,kerbero,0.5092452764511108
typea,comments,typeb,0.9357131719589233,typec,0.8249474763870239,statetype,0.4638865292072296,typee,0.45918551087379456,testtype,0.44620075821876526,sometype,0.434935986995697,btype,0.42281800508499146,tkey,0.4215497374534607,thetype,0.4011807441711426,keytype,0.40116310119628906
typex,comments,membertype,0.4222556948661804,reftype,0.39213284850120544,typeindex,0.3875850439071655,etype,0.3871491849422455,atype,0.3856363296508789,paymode,0.38468655943870544,ofstringany,0.3823513388633728,subtyped,0.3729424476623535,emptype,0.37172043323516846,typname,0.3705381751060486
restriction,comments,impose,0.5648753643035889,forbidd,0.5537531971931458,restrictive,0.5343039035797119,restrict,0.5308376550674438,monomorphism,0.5160622596740723,unrestricted,0.5148383975028992,prohibition,0.5057781934738159,stipulation,0.5008442997932434,stricter,0.48586249351501465,permissible,0.4808350205421448
feedback,comments,feeback,0.5151798725128174,guidance,0.4874403476715088,assistance,0.45408695936203003,solicit,0.43807414174079895,haptic,0.431059330701828,feed-back,0.41416221857070923,csi,0.4099930226802826,csit,0.40539297461509705,inform,0.3920847773551941,insight,0.38729149103164673
vary,comments,varied,0.7745885848999023,depend,0.6398235559463501,differ,0.5912562608718872,different,0.5374969840049744,versus,0.499206006526947,fluctuate,0.4929978549480438,variation,0.4851997196674347,affect,0.4402342438697815,increase,0.4195314347743988,average,0.4087056815624237
concurrency,comments,multi-thread,0.670907735824585,multithread,0.6408052444458008,concurrent,0.6394127011299133,multithreaded,0.6047812700271606,multi-threaded,0.5966343879699707,serializability,0.5809165239334106,synchronization,0.5790108442306519,atomicity,0.5754266977310181,lock-based,0.5726381540298462,multi-version,0.5629338026046753
fit,comments,fitt,0.6738955974578857,scale,0.5146227478981018,shrink,0.5121168494224548,adjust,0.4871551990509033,stretch,0.4492768943309784,resize,0.4492611587047577,shrunk,0.44785457849502563,re-size,0.4102829098701477,coef,0.403727263212204,rescale,0.3970099985599518
fix,comments,unfixed,0.475985586643219,solf,0.4682622253894806,solve,0.46770763397216797,fixable,0.43087637424468994,non-fixed,0.39796024560928345,workaround,0.3867383599281311,bumped,0.3683575689792633,pinpointed,0.36649230122566223,rectify,0.35959839820861816,vanish,0.35724201798439026
hidden,comments,hide,0.49322301149368286,input,0.49065494537353516,hid,0.48753058910369873,visibility,0.48597657680511475,invisible,0.4751894474029541,unhide,0.4646335244178772,visible,0.4592525064945221,unhidden,0.44430646300315857,checkbox,0.4381256103515625,nowrap,0.43570005893707275
fin,comments,fout,0.6689779758453369,ifstream,0.5171703696250916,infile,0.4755570590496063,inicio,0.45691627264022827,getline,0.4504963457584381,ofstream,0.4419800341129303,nom,0.43751466274261475,eof,0.43727579712867737,inp,0.43633532524108887,ifile,0.43446964025497437
end-of-body,comments,begin,0.5811329483985901,head,0.5237337350845337,else,0.4344022274017334,append,0.4247460961341858,start,0.4177035093307495,html,0.40319108963012695,sub,0.40219375491142273,def,0.3907631039619446,div,0.389934241771698,defp,0.3660130798816681
timeout,comments,timout,0.7150784134864807,time-out,0.6888275146484375,interval,0.6165603399276733,keepalive,0.5758499503135681,retry,0.5619434714317322,settimeout,0.5587577819824219,delay,0.5509852766990662,millisecond,0.540138840675354,connectiontimeout,0.539881706237793,wait,0.5348673462867737
debug,comments,debugger,0.599166989326477,dbg,0.5668686628341675,backtrace,0.500883936882019,loglevel,0.5007787942886353,diagnostic,0.500511646270752,gdb,0.48921704292297363,non-debug,0.48504725098609924,verbose,0.47443854808807373,ndebug,0.4742790758609772,breakpoint,0.46724796295166016
series,comments,serie,0.6460692882537842,chart,0.5735359787940979,timesery,0.5678844451904297,datapoint,0.5201699137687683,time-sery,0.5121068954467773,datasery,0.47475117444992065,plot,0.463457852602005,spline,0.45378634333610535,highchart,0.4467310309410095,trendline,0.4349362850189209
overwrite,comments,overwritten,0.812139093875885,over-writ,0.5138149857521057,over-written,0.5105090737342834,overwrote,0.5053691864013672,modify,0.5000356435775757,overwritt,0.4994726777076721,over-write,0.4786742627620697,reassign,0.4717915654182434,clobber,0.4670381546020508,copy,0.4665497839450836
threadsafe,comments,thread-safe,0.7431331872940063,thread-safety,0.6254860162734985,multithreaded,0.6203169822692871,non-thread-safe,0.5968573689460754,multi-threaded,0.5886237621307373,thread-unsafe,0.5712443590164185,single-threaded,0.5571010708808899,threadsafety,0.5469750761985779,multi-thread,0.5464748740196228,non-threadsafe,0.5385754108428955
dst,comments,dest,0.7214293479919434,destination,0.5968642234802246,dcontext,0.4864935278892517,dport,0.48235654830932617,pdst,0.47064441442489624,tgt,0.4649016857147217,fdst,0.4646044075489044,source,0.46414774656295776,pkt,0.4601215124130249,psrc,0.4464440643787384
smb,comments,samba,0.7137213945388794,cif,0.6243300437927246,jcif,0.567205548286438,smbf,0.5509566068649292,smbclient,0.5286581516265869,unc,0.5248910188674927,sshf,0.5124044418334961,sftp,0.5026430487632751,ntlm,0.4685269296169281,ftp,0.462798535823822
