phrase,most_sim_1,score_1,most_sim_2,score_2,most_sim_3,score_3,most_sim_4,score_4,most_sim_5,score_5,most_sim_6,score_6,most_sim_7,score_7,most_sim_8,score_8,most_sim_9,score_9,most_sim_10,score_10
code,nt,0.6972724795341492,work,0.6469832062721252,importantly,0.6258724927902222,things,0.618416428565979,btw,0.6120816469192505,doubt,0.6042325496673584,reason,0.6028741002082825,thing,0.5962401628494263,working,0.5867079496383667,lot,0.5864875912666321
dist,tillwbr,0.656812310218811,genusage,0.6481702923774719,possessedturretpitchvalue,0.634276807308197,ptomedio,0.6250488758087158,pyxtodll,0.6204874515533447,configautoloadzdt,0.6112979650497437,ymovementborder,0.6090875864028931,sptsetfalse,0.605430006980896,loclocman,0.6011307239532471,exceedingpoint,0.6002130508422852
Compression,compress,0.8041243553161621,compressed,0.7860007286071777,compressing,0.7653263807296753,decompression,0.7523581385612488,uncompressed,0.7477672100067139,gzip,0.7216377258300781,lossless,0.6997760534286499,compressionfilters,0.6860114932060242,compresion,0.6804444789886475,compressor,0.6742983460426331
skip,skipping,0.7949647307395935,skipped,0.6960936784744263,skips,0.6897647976875305,ignore,0.645884096622467,discard,0.6043508052825928,continue,0.6017664074897766,proceed,0.5609880685806274,ignoring,0.5507315397262573,omit,0.5418928861618042,step,0.5264728665351868
fclose,fopen,0.7822412848472595,fwrite,0.7562052011489868,cstylestream,0.7006285190582275,fread,0.6693193316459656,feof,0.6583490967750549,fcloseall,0.6479456424713135,hashbytesashex,0.6383473873138428,fp,0.637436032295227,userinfofread,0.6336628198623657,cenazamowieniabrutto,0.6299533843994141
month,year,0.8533304929733276,months,0.8051446676254272,week,0.7940889000892639,day,0.7698249220848083,january,0.712733805179596,monthyear,0.6971848607063293,dates,0.6907588839530945,imgmonths,0.6868733167648315,days,0.685886025428772,december,0.6618164777755737
setzero,simdtest,0.6155709028244019,totmlssrvams,0.5473396182060242,mlssrvamsfr,0.5348480939865112,tmpttlenroll,0.5177005529403687,tmppct,0.5167526006698608,tmpredcenroll,0.4885900914669037,nvec,0.4796854257583618,tmppaidenroll,0.4792807996273041,valseen,0.4660618901252746,tmpfreeenroll,0.4650534987449646
prefix,prefixes,0.847223162651062,suffix,0.8165643215179443,suffixes,0.7371179461479187,prefixed,0.6644459962844849,prefixing,0.627488374710083,recordedlicense,0.6157825589179993,endprefixmapping,0.5907410383224487,excluderesult,0.5882394313812256,sysrootusrlocal,0.5881419181823729,trimleftmatches,0.5825498104095459
Andreas,stefan,0.8786329627037048,matthias,0.8665122985839844,markus,0.8535299301147461,christian,0.8267782926559448,tobias,0.8230309486389159,florian,0.8075252175331116,christoph,0.8053748607635498,sebastian,0.7930546998977661,klaus,0.7885992527008057,stephan,0.7868921756744385
dsp,dsps,0.6926397681236267,fpga,0.6880534887313843,xilinx,0.6388881206512451,asic,0.6349886059761047,ipcore,0.6097061634063721,fft,0.6011104583740234,gpp,0.598514199256897,microcontroller,0.5921494960784912,altera,0.5867979526519775,blackfin,0.5840635299682617
czero,hzero,0.6122412085533142,szero,0.5631276369094849,centisec,0.5552668571472168,accond,0.5422764420509338,creal,0.4901785254478455,realtofrac,0.4832472205162048,cimag,0.4764085412025452,tinyc,0.4728023409843445,cpow,0.4659017324447632,cimagl,0.4651783406734466
zero-length,equal,0.731322169303894,nonzero,0.6851032376289368,lengths,0.6580508351325989,greater,0.6367692351341248,zeros,0.6356699466705322,infinity,0.6063595414161682,n,0.5882638692855835,k,0.5873373746871948,zeroes,0.5761510133743286,maximum,0.5759457945823669
saved,save,0.8364261388778687,saving,0.8272194862365723,saves,0.7515835762023926,persisted,0.6745399236679077,restored,0.6727129220962524,persist,0.638701319694519,restore,0.6162328720092773,persisting,0.6089881062507629,stored,0.5977569818496704,wiped,0.5939799547195435
ptr,ptrmode,0.694774866104126,pointer,0.690415620803833,dereference,0.6543806791305542,mynameptr,0.6406148672103882,aptr,0.6339760422706604,ptrs,0.6273418664932251,dataptr,0.6263846755027771,serialdev,0.6218263506889343,dereferencing,0.6149873733520508,nullptr,0.6147059202194214
voidp,getptr,0.5675591230392456,sizeoft,0.5660490393638611,sizeptr,0.5532655715942383,previnuse,0.5527110695838928,offsetptr,0.5480954647064209,sizeofp,0.5449918508529663,processheapentry,0.5445540547370911,returnptr,0.5407508611679077,pbinheader,0.5389280915260315,createxorbitmap,0.5386144518852234
compose,composing,0.8127322196960449,composition,0.6612255573272705,composes,0.6598937511444092,combine,0.6367251873016357,composable,0.6132676601409912,compositions,0.6076450347900391,decompose,0.5992972254753113,assemble,0.5965697169303894,composed,0.5879507064819336,recompose,0.5261189937591553
const,kdashedlineslength,0.650046169757843,serverpathtoimagefolder,0.6339011788368225,cconforming,0.6121105551719666,epitwittersignaturemethod,0.6107334494590759,navwhitepixelbg,0.5944212675094604,mschwierigkeit,0.5936068296432495,objjfso,0.592714786529541,columnheadergroup,0.5850514769554138,legaltbl,0.5831321477890015,std,0.58255934715271
rowbytes,cgbitmapcontextgetbytesperrow,0.7194008827209473,pothigh,0.7099971175193787,potwide,0.7029694318771362,cgbitmapcontextgetheight,0.6968314051628113,cgbitmapcontextgetwidth,0.6957325339317322,frontimagebuffer,0.6913058757781982,bluebuffer,0.6912797093391418,rowstride,0.6894014477729797,pngbytep,0.6854390501976013,effectoutcontext,0.6814323663711548
cdigits,sumamath,0.698257565498352,doubleddigits,0.6806330680847168,handledigitaction,0.6747083067893982,roundcolorpct,0.6606754064559937,nummerofchoise,0.6582437753677368,cbosequence,0.6549069881439209,ifpin,0.6538338661193848,nbananas,0.6485934257507324,tleddigit,0.6483808159828186,founddigits,0.6431352496147156
init,initialize,0.6726001501083374,initialisation,0.6528995037078857,initialise,0.619590163230896,initialization,0.6162986755371094,initwithcallback,0.599062442779541,inited,0.5988762378692627,initializing,0.5987227559089661,initonce,0.5738740563392639,initialising,0.5661684274673462,punkacl,0.5620735883712769
preserved,preserves,0.8657881021499634,preserve,0.8489326238632202,preserving,0.7775992155075073,preservation,0.7155877351760864,retains,0.6866110563278198,retained,0.649172306060791,ensured,0.6369708776473999,unaffected,0.6309838891029358,restored,0.624984622001648,ensures,0.6170632839202881
Unknown,unkown,0.5946782827377319,uknown,0.5616449117660522,invalid,0.5265820026397705,setcachedaddress,0.5196030139923096,unknow,0.5050456523895264,known,0.5034680366516113,nknown,0.4967451691627502,mismatch,0.4964904189109802,incomplete,0.4821152091026306,illegal,0.4816837906837464
Nov,aug,0.95708167552948,oct,0.9568499326705932,feb,0.9493672847747804,jul,0.925312638282776,mar,0.9202587604522704,apr,0.917449712753296,jun,0.8910630345344543,thu,0.8762484788894653,tue,0.8562956452369691,fri,0.8552234768867493
Cosmin,prund,0.7050167322158813,pirvu,0.6802167892456055,sertac,0.59525465965271,ionut,0.5860045552253723,rodica,0.5846787691116333,stejerean,0.5821201205253601,popovici,0.5623090267181396,mghie,0.5598690509796143,ghita,0.5584251880645752,sinmin,0.5583058595657349
