"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"tmpf","VarDecl",78,78,"char [23]","tmpf","","","1904242647440"
"u0","VarDecl",89,89,"png_uint_32","u0","","","1904107222183"
"u1","VarDecl",89,89,"png_uint_32","u1","","","1901795875503"
"bytes","VarDecl",90,90,"png_bytep","bytes","bytes : Time Complexity / Space Complexity/ Memory/ Exception","","1900080284403"
"i","VarDecl",95,95,"size_t","i","","","1903356458095"
"u","VarDecl",99,99,"png_uint_32","u","","","1904254652116"
"color_seed","VarDecl",111,111,"png_uint_32 [2]","color seed","","color","1903111438788"
"sRGB_to_d","VarDecl",153,153,"double [256]","s RGB to d","","rgb","1901523133575"
"g22_to_d","VarDecl",154,154,"double [256]","g22 to d","","","1903729971041"
"i","VarDecl",159,159,"int","i","","","1903320530847"
"r","VarDecl",228,228,"double","r","","","1900883107289"
"g","VarDecl",229,229,"double","g","","","1903824965891"
"b","VarDecl",230,230,"double","b","","","1901404467108"
"format_names","VarDecl",376,449,"const char *const [64]","format names","","","1902629745767"
"ep","VarDecl",455,455,"char *","ep","","","1901706645515"
"format","VarDecl",456,456,"unsigned long","format","","","1902499884477"
"i","VarDecl",481,481,"int","i","","","1900771407166"
"i","VarDecl",497,497,"int","i","","","1900170015020"
"i","VarDecl",533,533,"int","i","","","1902078968481"
"f","VarDecl",542,542,"png_uint_32","f","","","1900867272034"
"size","VarDecl",669,669,"size_t","size","size : Data-Structure and its Components","","1900961541737"
"i","VarDecl",695,695,"int","i","","","1902355426326"
"e","VarDecl",752,752,"int","e","","","1900120100505"
"pp","VarDecl",816,816,"png_const_bytep","pp","","","1903567852263"
"pp","VarDecl",825,825,"png_const_bytep","pp","","","1901001232805"
"pp","VarDecl",835,835,"png_const_bytep","pp","","","1902725423895"
"pp","VarDecl",845,845,"png_const_bytep","pp","","","1902736816961"
"pp","VarDecl",857,857,"png_const_bytep","pp","","","1902455101456"
"pp","VarDecl",869,869,"png_const_bytep","pp","","","1901425001364"
"pp","VarDecl",881,881,"png_const_bytep","pp","","","1900336092225"
"pp","VarDecl",894,894,"png_const_bytep","pp","","","1901549336691"
"pp","VarDecl",907,907,"png_const_bytep","pp","","","1900948792328"
"pp","VarDecl",919,919,"png_const_uint_16p","pp","","","1901079743348"
"pp","VarDecl",928,928,"png_const_uint_16p","pp","","","1902391029211"
"pp","VarDecl",938,938,"png_const_uint_16p","pp","","","1902700694494"
"pp","VarDecl",948,948,"png_const_uint_16p","pp","","","1901435481932"
"pp","VarDecl",960,960,"png_const_uint_16p","pp","","","1902587589547"
"pp","VarDecl",972,972,"png_const_uint_16p","pp","","","1904186814160"
