"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"stdlib.h","inclusionDirective",19,19,"","stdlib.h","","","2101113000029"
"string.h","inclusionDirective",20,20,"","string.h","","","2100088751793"
"stdio.h","inclusionDirective",21,21,"","stdio.h","","","2101664624728"
"setjmp.h","inclusionDirective",22,22,"","setjmp.h","","","2101329067518"
"../../png.h","inclusionDirective",30,30,"","../../png.h","","","2102631705987"
"SKIP","macroDefinition",39,39,"","SKIP","","","2101726882395"
"chunk_info","VarDecl",182,330,"struct (anonymous struct at /home/dewang/smartKT/SmartKTRepo/projects/libpng/contrib/libtests/pngunknown.c:182:8) [22]","chunk info","","chunk","2102491718840"
"i","VarDecl",337,337,"int","i","","","2100630339370"
"i","VarDecl",345,345,"int","i","","","2103293148690"
"i","VarDecl",358,358,"int","i","","","2102445994910"
"i","VarDecl",371,371,"int","i","","","2103524182431"
"init","VarDecl",411,411,"const char [15]","init","init : Properties of Datastructure / Function / Blocks","","2100295525244"
"cmd","VarDecl",412,412,"const char [13]","cmd","","","2102278850112"
"d","VarDecl",466,466,"display *","d","","","2102938960070"
"d","VarDecl",475,475,"display *","d","","","2101052211403"
"flags","VarDecl",484,484,"png_uint_32","flags","","","2103095619392"
"text","VarDecl",488,488,"png_textp","text","","text","2103197766547"
"ntext","VarDecl",489,489,"png_uint_32","ntext","","","2100380677954"
"d","VarDecl",520,520,"display *","d","","","2103022782816"
"chunk","VarDecl",521,521,"int","chunk","","chunk","2101316957438"
"keep","VarDecl",522,522,"int","keep","","","2100283846594"
"discard","VarDecl",522,522,"int","discard","","","2100726656844"
"flag","VarDecl",568,568,"png_uint_32","flag","","","2103549440892"
"flags","VarDecl",594,594,"png_uint_32","flags","","","2104250344002"
"unknown","VarDecl",599,599,"png_unknown_chunkp","unknown","","","2103959009812"
"num_unknown","VarDecl",600,600,"int","num unknown","","","2103832130798"
"chunk","VarDecl",604,604,"int","chunk","","chunk","2101049357518"
"i","VarDecl",668,668,"int","i","","","2101066678981"
"npasses","VarDecl",668,668,"int","npasses","","","2103781060683"
"ipass","VarDecl",668,668,"int","ipass","","","2101590090931"
"height","VarDecl",669,669,"png_uint_32","height","height : Data-Structure and its Components","","2102367544352"
"equals","VarDecl",716,716,"const char *","equals","equals : Operations as part of Data structure","","2103684941823"
"chunk","VarDecl",720,720,"int","chunk","","chunk","2100621442859"
"option","VarDecl",720,720,"int","option","","","2100078262636"
"name","VarDecl",754,754,"png_byte [5]","name","","","2103877036765"
"width","VarDecl",839,839,"png_uint_32","width","","","2102440979172"
"wPass","VarDecl",843,843,"png_uint_32","w Pass","","","2102477191514"
"y","VarDecl",847,847,"png_uint_32","y","","","2102910501511"
