"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"jmp_buf","TypeRef",173,173,"jmp_buf","jmp buf","","","2400754461981"
"struct png_store","TypeRef",173,173,"struct png_store","struct png store","struct : Data-Structure and its Components | store : Time Complexity / Space Complexity/ Memory/ Exception","","2400629126727"
"size_t","TypeRef",214,214,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
"size_t","TypeRef",214,214,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
"size_t","TypeRef",214,214,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
"size_t","TypeRef",227,227,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
"size_t","TypeRef",227,227,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
"size_t","TypeRef",227,227,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
"size_t","TypeRef",235,235,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
"size_t","TypeRef",235,235,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
"size_t","TypeRef",235,235,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
"png_fixed_point","TypeRef",255,255,"png_fixed_point","png fixed point","","png","2401282636775"
"png_fixed_point","TypeRef",259,259,"png_fixed_point","png fixed point","","png","2401282636775"
"png_uint_32","TypeRef",271,271,"png_uint_32","png uint 32","","png","2400711878239"
"size_t","TypeRef",271,271,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
"png_uint_32","TypeRef",273,273,"png_uint_32","png uint 32","","png","2400711878239"
"png_bytep","TypeRef",274,274,"png_bytep","png bytep","","png","2400805120633"
"size_t","TypeRef",279,279,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
"png_uint_32","TypeRef",283,283,"png_uint_32","png uint 32","","png","2400711878239"
"png_byte","TypeRef",288,288,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","2401496586906"
"png_uint_32","TypeRef",296,296,"png_uint_32","png uint 32","","png","2400711878239"
"png_bytep","TypeRef",296,296,"png_bytep","png bytep","","png","2400805120633"
"size_t","TypeRef",304,304,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
"png_uint_32","TypeRef",306,306,"png_uint_32","png uint 32","","png","2400711878239"
"png_byte","TypeRef",313,313,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","2401496586906"
"png_uint_16","TypeRef",322,322,"png_uint_16","png uint 16","","png","2401078110745"
"png_uint_16","TypeRef",327,327,"png_uint_16","png uint 16","","png","2401078110745"
"png_uint_32","TypeRef",332,332,"png_uint_32","png uint 32","","png","2400711878239"
"png_uint_32","TypeRef",337,337,"png_uint_32","png uint 32","","png","2400711878239"
"png_uint_32","TypeRef",337,337,"png_uint_32","png uint 32","","png","2400711878239"
"png_uint_32","TypeRef",337,337,"png_uint_32","png uint 32","","png","2400711878239"
"png_uint_32","TypeRef",337,337,"png_uint_32","png uint 32","","png","2400711878239"
"size_t","TypeRef",380,380,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
"size_t","TypeRef",381,381,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
"size_t","TypeRef",381,381,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
"png_byte","TypeRef",381,381,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","2401496586906"
"png_uint_32","TypeRef",383,383,"png_uint_32","png uint 32","","png","2400711878239"
"png_uint_32","TypeRef",383,383,"png_uint_32","png uint 32","","png","2400711878239"
"size_t","TypeRef",420,420,"size_t","size t","size : Data-Structure and its Components","","2400948801090"
