"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"getchar","CallExpr",53,53,"int","getchar","","","101282669096"
"putchar","CallExpr",54,54,"int","putchar","","","103854498987"
"getchar","CallExpr",62,62,"int","getchar","","","100767882770"
"getchar","CallExpr",63,63,"int","getchar","","","100334900124"
"getchar","CallExpr",64,64,"int","getchar","","","102202424388"
"getchar","CallExpr",65,65,"int","getchar","","","104136809531"
"getchar","CallExpr",68,68,"int","getchar","","","101059866550"
"getchar","CallExpr",69,69,"int","getchar","","","103995434901"
"getchar","CallExpr",70,70,"int","getchar","","","102770291623"
"getchar","CallExpr",71,71,"int","getchar","","","102928084982"
"crc32","CallExpr",81,81,"uLong","crc32","","","101775542819"
"getchar","CallExpr",86,86,"int","getchar","","","102938758733"
"crc32","CallExpr",93,93,"uLong","crc32","","","102873105785"
"getchar","CallExpr",109,109,"int","getchar","","","102480436261"
"crc32","CallExpr",113,113,"uLong","crc32","","","103332865933"
"putchar","CallExpr",127,127,"int","putchar","","","100452721011"
"putchar","CallExpr",137,137,"int","putchar","","","103473338447"
"getchar","CallExpr",142,142,"int","getchar","","","100604310414"
"putchar","CallExpr",143,143,"int","putchar","","","100531920491"
"MAX_LENGTH","macroExpansion",45,45,"","MAX LENGTH","max : Operations as part of Data structure | length : Operations as part of Algorithms","","102504290022"
"GETBREAK","macroExpansion",53,53,"","GETBREAK","","","100624944492"
"GETBREAK","macroExpansion",62,62,"","GETBREAK","","","103773115092"
"GETBREAK","macroExpansion",63,63,"","GETBREAK","","","100654563734"
"GETBREAK","macroExpansion",64,64,"","GETBREAK","","","100416861925"
"GETBREAK","macroExpansion",65,65,"","GETBREAK","","","101708603465"
"GETBREAK","macroExpansion",68,68,"","GETBREAK","","","101059531586"
"GETBREAK","macroExpansion",69,69,"","GETBREAK","","","102011855897"
"GETBREAK","macroExpansion",70,70,"","GETBREAK","","","101373416023"
"GETBREAK","macroExpansion",71,71,"","GETBREAK","","","103499767333"
"MAX_LENGTH","macroExpansion",77,77,"","MAX LENGTH","max : Operations as part of Data structure | length : Operations as part of Algorithms","","103093563402"
"Z_NULL","macroExpansion",81,81,"","Z NULL","null : Properties of Datastructure / Function / Blocks","","103023343193"
"GETBREAK","macroExpansion",86,86,"","GETBREAK","","","100662919563"
"MAX_LENGTH","macroExpansion",106,106,"","MAX LENGTH","max : Operations as part of Data structure | length : Operations as part of Algorithms","","103074088236"
"GETBREAK","macroExpansion",109,109,"","GETBREAK","","","102355347410"
"GETBREAK","macroExpansion",142,142,"","GETBREAK","","","102475576816"
"i","DeclRefExpr",51,51,"unsigned int","i","","","102418852160"
"i","DeclRefExpr",51,51,"unsigned int","i","","","103194519606"
"i","DeclRefExpr",51,51,"unsigned int","i","","","102247607984"
"inchar","DeclRefExpr",53,53,"int","inchar","","","100127957569"
"getchar","DeclRefExpr",53,53,"int (void)","getchar","","","103380698618"
"c","DeclRefExpr",53,53,"unsigned char","c","","","102918294205"
"inchar","DeclRefExpr",53,53,"int","inchar","","","102382407746"
"inchar","DeclRefExpr",53,53,"int","inchar","","","101197085795"
"c","DeclRefExpr",53,53,"unsigned char","c","","","100062380435"
"putchar","DeclRefExpr",54,54,"int (int)","putchar","","","103017474644"
"c","DeclRefExpr",54,54,"unsigned char","c","","","101687658143"
"inchar","DeclRefExpr",57,57,"int","inchar","","","100066836171"
"c","DeclRefExpr",57,57,"unsigned char","c","","","101115592886"
"inchar","DeclRefExpr",62,62,"int","inchar","","","103444461998"
"getchar","DeclRefExpr",62,62,"int (void)","getchar","","","101832348103"
"c","DeclRefExpr",62,62,"unsigned char","c","","","103491117634"
"inchar","DeclRefExpr",62,62,"int","inchar","","","104163830356"
"inchar","DeclRefExpr",62,62,"int","inchar","","","101591704809"
"c","DeclRefExpr",62,62,"unsigned char","c","","","100722464205"
"buf","DeclRefExpr",62,62,"unsigned char [500000]","buf","","","100545270995"
"c","DeclRefExpr",62,62,"unsigned char","c","","","100030249903"
"length","DeclRefExpr",62,62,"unsigned long","length","length : Operations as part of Algorithms","","102770501002"
"c","DeclRefExpr",62,62,"unsigned char","c","","","101267960647"
"length","DeclRefExpr",62,62,"unsigned long","length","length : Operations as part of Algorithms","","101968864420"
"inchar","DeclRefExpr",63,63,"int","inchar","","","100863731400"
"getchar","DeclRefExpr",63,63,"int (void)","getchar","","","102303004605"
"c","DeclRefExpr",63,63,"unsigned char","c","","","100046178116"
"inchar","DeclRefExpr",63,63,"int","inchar","","","104157284345"
"inchar","DeclRefExpr",63,63,"int","inchar","","","103755621127"
"c","DeclRefExpr",63,63,"unsigned char","c","","","104177588281"
"buf","DeclRefExpr",63,63,"unsigned char [500000]","buf","","","104262491187"
"c","DeclRefExpr",63,63,"unsigned char","c","","","102462077306"
