"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"png_uint_16","TypeRef",173,173,"png_uint_16","png uint 16","","png","2303432797758"
"png_uint_16p","TypeRef",174,174,"png_uint_16p","png uint 16p","","png","2302366682041"
"png_const_uint_16p","TypeRef",175,175,"png_const_uint_16p","png const uint 16p","const : Properties of Datastructure / Function / Blocks","png","2304276655251"
"uarb","TypeRef",183,183,"uarb","uarb","","","2302438736410"
"png_alloc_size_t","TypeRef",183,183,"png_alloc_size_t","png alloc size t","alloc : Time Complexity / Space Complexity/ Memory/ Exception | size : Data-Structure and its Components","png","2303709654060"
"png_uint_16","TypeRef",192,192,"png_uint_16","png uint 16","","png","2303432797758"
"uarb","TypeRef",200,200,"uarb","uarb","","","2302438736410"
"uarb","TypeRef",200,200,"uarb","uarb","","","2302438736410"
"uarb","TypeRef",213,213,"uarb","uarb","","","2302438736410"
"png_int_32","TypeRef",213,213,"png_int_32","png int 32","int : Properties of Datastructure / Function / Blocks","png","2302145099939"
"png_uint_16","TypeRef",226,226,"png_uint_16","png uint 16","","png","2303432797758"
"png_uint_16","TypeRef",232,232,"png_uint_16","png uint 16","","png","2303432797758"
"uarb","TypeRef",253,253,"uarb","uarb","","","2302438736410"
"png_uint_32","TypeRef",253,253,"png_uint_32","png uint 32","","png","2300711938884"
"uarb","TypeRef",266,266,"uarb","uarb","","","2302438736410"
"uarb","TypeRef",266,266,"uarb","uarb","","","2302438736410"
"png_uint_16","TypeRef",267,267,"png_uint_16","png uint 16","","png","2303432797758"
"png_uint_32","TypeRef",285,285,"png_uint_32","png uint 32","","png","2300711938884"
"png_uint_32","TypeRef",294,294,"png_uint_32","png uint 32","","png","2300711938884"
"png_uint_16","TypeRef",296,296,"png_uint_16","png uint 16","","png","2303432797758"
"uarb","TypeRef",311,311,"uarb","uarb","","","2302438736410"
"uarb","TypeRef",311,311,"uarb","uarb","","","2302438736410"
"png_uint_32","TypeRef",311,311,"png_uint_32","png uint 32","","png","2300711938884"
"png_uint_16","TypeRef",319,319,"png_uint_16","png uint 16","","png","2303432797758"
"png_uint_16","TypeRef",324,324,"png_uint_16","png uint 16","","png","2303432797758"
"uarb","TypeRef",334,334,"uarb","uarb","","","2302438736410"
"png_uint_16","TypeRef",340,340,"png_uint_16","png uint 16","","png","2303432797758"
"png_uint_16","TypeRef",346,346,"png_uint_16","png uint 16","","png","2303432797758"
"png_uint_16","TypeRef",346,346,"png_uint_16","png uint 16","","png","2303432797758"
"png_uint_16","TypeRef",349,349,"png_uint_16","png uint 16","","png","2303432797758"
"uarb","TypeRef",362,362,"uarb","uarb","","","2302438736410"
"uarb","TypeRef",362,362,"uarb","uarb","","","2302438736410"
"uarb","TypeRef",397,397,"uarb","uarb","","","2302438736410"
"FILE","TypeRef",397,397,"FILE","FILE","","","2303792979802"
"uarb","TypeRef",414,414,"uarb","uarb","","","2302438736410"
"FILE","TypeRef",414,414,"FILE","FILE","","","2303792979802"
"udigit","TypeRef",424,424,"udigit","udigit","","","2303212270138"
"png_uint_32","TypeRef",448,448,"png_uint_32","png uint 32","","png","2300711938884"
