"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"../pngpriv.h","inclusionDirective",14,14,"","../pngpriv.h","","","1701817860490"
"png_structp","TypeRef",20,20,"png_structp","png structp","","png","1703455333650"
"bpp","DeclRefExpr",31,31,"unsigned int","bpp","","","1704093436852"
"pp","DeclRefExpr",33,33,"png_structp","pp","","","1703532375538"
"png_read_filter_row_sub3_sse2","DeclRefExpr",33,33,"void (png_row_infop, png_bytep, png_const_bytep)","png read filter row sub3 sse2","read : Operations as part of Data structure","png","1700812413053"
"pp","DeclRefExpr",34,34,"png_structp","pp","","","1700136302681"
"png_read_filter_row_avg3_sse2","DeclRefExpr",34,34,"void (png_row_infop, png_bytep, png_const_bytep)","png read filter row avg3 sse2","read : Operations as part of Data structure","png","1703254385536"
"pp","DeclRefExpr",35,35,"png_structp","pp","","","1702831588229"
"png_read_filter_row_paeth3_sse2","DeclRefExpr",36,36,"void (png_row_infop, png_bytep, png_const_bytep)","png read filter row paeth3 sse2","read : Operations as part of Data structure","png","1703266987030"
"bpp","DeclRefExpr",38,38,"unsigned int","bpp","","","1702982751981"
"pp","DeclRefExpr",40,40,"png_structp","pp","","","1702547427597"
"png_read_filter_row_sub4_sse2","DeclRefExpr",40,40,"void (png_row_infop, png_bytep, png_const_bytep)","png read filter row sub4 sse2","read : Operations as part of Data structure","png","1703423308949"
"pp","DeclRefExpr",41,41,"png_structp","pp","","","1703481737453"
"png_read_filter_row_avg4_sse2","DeclRefExpr",41,41,"void (png_row_infop, png_bytep, png_const_bytep)","png read filter row avg4 sse2","read : Operations as part of Data structure","png","1704050217148"
"pp","DeclRefExpr",42,42,"png_structp","pp","","","1701847246719"
"png_read_filter_row_paeth4_sse2","DeclRefExpr",43,43,"void (png_row_infop, png_bytep, png_const_bytep)","png read filter row paeth4 sse2","read : Operations as part of Data structure","png","1703318202406"
"read_filter","MemberRefExpr",33,33,"void (*[4])(png_row_infop, png_bytep, png_const_bytep)","read filter","read : Operations as part of Data structure","","1700107768581"
"read_filter","MemberRefExpr",34,34,"void (*[4])(png_row_infop, png_bytep, png_const_bytep)","read filter","read : Operations as part of Data structure","","1703144730691"
"read_filter","MemberRefExpr",35,35,"void (*[4])(png_row_infop, png_bytep, png_const_bytep)","read filter","read : Operations as part of Data structure","","1702544943473"
"read_filter","MemberRefExpr",40,40,"void (*[4])(png_row_infop, png_bytep, png_const_bytep)","read filter","read : Operations as part of Data structure","","1704035150177"
"read_filter","MemberRefExpr",41,41,"void (*[4])(png_row_infop, png_bytep, png_const_bytep)","read filter","read : Operations as part of Data structure","","1702778669763"
"read_filter","MemberRefExpr",42,42,"void (*[4])(png_row_infop, png_bytep, png_const_bytep)","read filter","read : Operations as part of Data structure","","1702744585450"
"png_init_filter_functions_sse2","FunctionDecl",19,49,"void (png_structp, unsigned int)","png init filter functions sse2","init : Properties of Datastructure / Function / Blocks","png","1702982717123"
"pp","ParmDecl",20,20,"png_structp","pp","","","1701629849333"
"bpp","ParmDecl",20,20,"unsigned int","bpp","","","1702074104972"
"bpp","UnexposedExpr",31,31,"unsigned int","bpp","","","1702199871845"
"read_filter","UnexposedExpr",33,33,"void (**)(png_row_infop, png_bytep, png_const_bytep)","read filter","read : Operations as part of Data structure","","1704006137547"
"pp","UnexposedExpr",33,33,"png_structp","pp","","","1700709741302"
"png_read_filter_row_sub3_sse2","UnexposedExpr",33,33,"void (*)(png_row_infop, png_bytep, png_const_bytep)","png read filter row sub3 sse2","read : Operations as part of Data structure","png","1703951008737"
"read_filter","UnexposedExpr",34,34,"void (**)(png_row_infop, png_bytep, png_const_bytep)","read filter","read : Operations as part of Data structure","","1701646973646"
"pp","UnexposedExpr",34,34,"png_structp","pp","","","1702076358970"
"png_read_filter_row_avg3_sse2","UnexposedExpr",34,34,"void (*)(png_row_infop, png_bytep, png_const_bytep)","png read filter row avg3 sse2","read : Operations as part of Data structure","png","1703443493115"
"read_filter","UnexposedExpr",35,35,"void (**)(png_row_infop, png_bytep, png_const_bytep)","read filter","read : Operations as part of Data structure","","1700673751802"
"pp","UnexposedExpr",35,35,"png_structp","pp","","","1701664868297"
"png_read_filter_row_paeth3_sse2","UnexposedExpr",36,36,"void (*)(png_row_infop, png_bytep, png_const_bytep)","png read filter row paeth3 sse2","read : Operations as part of Data structure","png","1700341611310"
"bpp","UnexposedExpr",38,38,"unsigned int","bpp","","","1702589494491"
"read_filter","UnexposedExpr",40,40,"void (**)(png_row_infop, png_bytep, png_const_bytep)","read filter","read : Operations as part of Data structure","","1702516237776"
"pp","UnexposedExpr",40,40,"png_structp","pp","","","1701289998917"
"png_read_filter_row_sub4_sse2","UnexposedExpr",40,40,"void (*)(png_row_infop, png_bytep, png_const_bytep)","png read filter row sub4 sse2","read : Operations as part of Data structure","png","1701720735907"
"read_filter","UnexposedExpr",41,41,"void (**)(png_row_infop, png_bytep, png_const_bytep)","read filter","read : Operations as part of Data structure","","1702282948561"
"pp","UnexposedExpr",41,41,"png_structp","pp","","","1700249399488"
"png_read_filter_row_avg4_sse2","UnexposedExpr",41,41,"void (*)(png_row_infop, png_bytep, png_const_bytep)","png read filter row avg4 sse2","read : Operations as part of Data structure","png","1700026969308"
"read_filter","UnexposedExpr",42,42,"void (**)(png_row_infop, png_bytep, png_const_bytep)","read filter","read : Operations as part of Data structure","","1700401427632"
"pp","UnexposedExpr",42,42,"png_structp","pp","","","1702807138133"
"png_read_filter_row_paeth4_sse2","UnexposedExpr",43,43,"void (*)(png_row_infop, png_bytep, png_const_bytep)","png read filter row paeth4 sse2","read : Operations as part of Data structure","png","1702172925537"
