"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"PNG_FP_End","LabelStmt",2826,2830,"","PNG FP End","end : Time Complexity / Space Complexity/ Memory/ Exception","png","301616839827"
"PNG_FP_End","LabelStmt",2826,2830,"","PNG FP End","end : Time Complexity / Space Complexity/ Memory/ Exception","png","301616839827"
"adler","FieldDecl",2247,2247,"png_uint_32","adler","","","300431618515"
"crc","FieldDecl",2247,2247,"png_uint_32","crc","","crc","302970605691"
"length","FieldDecl",2247,2247,"png_uint_32","length","length : Operations as part of Algorithms","","302494290995"
"md5","FieldDecl",2248,2248,"png_uint_32 [4]","md5","","","300212854651"
"have_md5","FieldDecl",2249,2249,"png_byte","have md5","","","302804881441"
"is_broken","FieldDecl",2250,2250,"png_byte","is broken","","","301427611688"
"intent","FieldDecl",2251,2251,"png_uint_16","intent","","","302797736632"
"__GNUC__","macroExpansion",19,19,"","GNUC","","","300365496433"
"__GNUC__","macroExpansion",31,31,"","GNUC","","","303981709695"
"__GNUC_MINOR__","macroExpansion",31,31,"","GNUC MINOR","","","303034633350"
"PNGAPI","macroExpansion",685,685,"","PNGAPI","","","304010063205"
"PNGAPI","macroExpansion",810,810,"","PNGAPI","","","301577917092"
"PNG_UNUSED","macroExpansion",813,813,"","PNG UNUSED","","png","302632525106"
"PNG_STRING_NEWLINE","macroExpansion",817,817,"","PNG STRING NEWLINE","string : Data-Structure and its Components","png","304205793906"
"PNG_STRING_NEWLINE","macroExpansion",818,818,"","PNG STRING NEWLINE","string : Data-Structure and its Components","png","302445080682"
"PNG_STRING_NEWLINE","macroExpansion",819,819,"","PNG STRING NEWLINE","string : Data-Structure and its Components","png","302986160405"
"PNG_STRING_NEWLINE","macroExpansion",821,821,"","PNG STRING NEWLINE","string : Data-Structure and its Components","png","301531334833"
"PNG_STRING_NEWLINE","macroExpansion",822,822,"","PNG STRING NEWLINE","string : Data-Structure and its Components","png","303463271354"
"PNG_STRING_NEWLINE","macroExpansion",824,824,"","PNG STRING NEWLINE","string : Data-Structure and its Components","png","300536487719"
"PNGAPI","macroExpansion",836,836,"","PNGAPI","","","301956853089"
"PNGAPI","macroExpansion",843,843,"","PNGAPI","","","303783188043"
"PNG_UNUSED","macroExpansion",847,847,"","PNG UNUSED","","png","301769045967"
"PNG_LIBPNG_VER_STRING","macroExpansion",848,848,"","PNG LIBPNG VER STRING","string : Data-Structure and its Components","png | libpng","300562242410"
"PNGAPI","macroExpansion",851,851,"","PNGAPI","","","302080444633"
"PNG_UNUSED","macroExpansion",855,855,"","PNG UNUSED","","png","301116434424"
"__STDC__","macroExpansion",856,856,"","STDC","","","301860661947"
"PNG_HEADER_VERSION_STRING","macroExpansion",857,857,"","PNG HEADER VERSION STRING","string : Data-Structure and its Components","png","302075577818"
"PNG_STRING_NEWLINE","macroExpansion",861,861,"","PNG STRING NEWLINE","string : Data-Structure and its Components","png","301940758239"
"PNGAPI","macroExpansion",985,985,"","PNGAPI","","","303209230560"
"PNG_LIBPNG_VER","macroExpansion",989,989,"","PNG LIBPNG VER","","png | libpng","300723722758"
"PNG_FP_End","LabelRef",2733,2733,"","PNG FP End","end : Time Complexity / Space Complexity/ Memory/ Exception","png","300409851985"
"PNG_FP_End","LabelRef",2744,2744,"","PNG FP End","end : Time Complexity / Space Complexity/ Memory/ Exception","png","300409851985"
"PNG_FP_End","LabelRef",2752,2752,"","PNG FP End","end : Time Complexity / Space Complexity/ Memory/ Exception","png","300409851985"
"PNG_FP_End","LabelRef",2772,2772,"","PNG FP End","end : Time Complexity / Space Complexity/ Memory/ Exception","png","300409851985"
"PNG_FP_End","LabelRef",2794,2794,"","PNG FP End","end : Time Complexity / Space Complexity/ Memory/ Exception","png","300409851985"
"PNG_FP_End","LabelRef",2802,2802,"","PNG FP End","end : Time Complexity / Space Complexity/ Memory/ Exception","png","300409851985"
"PNG_FP_End","LabelRef",2819,2819,"","PNG FP End","end : Time Complexity / Space Complexity/ Memory/ Exception","png","300409851985"
"png_ptr","ParmDecl",47,47,"png_structrp","png ptr","","png","302928837909"
"num_bytes","ParmDecl",47,47,"int","num bytes","bytes : Time Complexity / Space Complexity/ Memory/ Exception","","302200364967"
"sig","ParmDecl",74,74,"png_const_bytep","sig","","","302606246474"
"start","ParmDecl",74,74,"size_t","start","start : Time Complexity / Space Complexity/ Memory/ Exception","","300954508000"
"num_to_check","ParmDecl",74,74,"size_t","num to check","check : Operations as part of Algorithms","","300745847218"
"png_ptr","ParmDecl",98,98,"voidpf","png ptr","","png","302888617885"
"items","ParmDecl",98,98,"uInt","items","items : Data-Structure and its Components","","300359100832"
