"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"error_fn","MemberRefExpr",82,82,"const png_error_ptr","error fn","error : Time Complexity / Space Complexity/ Memory/ Exception","","203508607259"
"error_fn","MemberRefExpr",83,83,"const png_error_ptr","error fn","error : Time Complexity / Space Complexity/ Memory/ Exception","","201612838930"
"warning_fn","MemberRefExpr",234,234,"const png_error_ptr","warning fn","","","201015912728"
"warning_fn","MemberRefExpr",235,235,"const png_error_ptr","warning fn","","","201979208279"
"flags","MemberRefExpr",364,364,"const png_uint_32","flags","","","201783076050"
"mode","MemberRefExpr",367,367,"const png_uint_32","mode","mode : Operations as part of Data structure","","202385919204"
"chunk_name","MemberRefExpr",368,368,"const png_uint_32","chunk name","","chunk","201618967228"
"mode","MemberRefExpr",378,378,"const png_uint_32","mode","mode : Operations as part of Data structure","","200948805340"
"chunk_name","MemberRefExpr",379,379,"const png_uint_32","chunk name","","chunk","200133567890"
"flags","MemberRefExpr",394,394,"const png_uint_32","flags","","","204263071548"
"flags","MemberRefExpr",407,407,"const png_uint_32","flags","","","202394737324"
"chunk_name","MemberRefExpr",437,437,"const png_uint_32","chunk name","","chunk","204098462697"
"flags","MemberRefExpr",517,517,"const png_uint_32","flags","","","202969969187"
"mode","MemberRefExpr",541,541,"const png_uint_32","mode","mode : Operations as part of Data structure","","203635846686"
"mode","MemberRefExpr",555,555,"const png_uint_32","mode","mode : Operations as part of Data structure","","204236979126"
"jmp_buf_ptr","MemberRefExpr",613,613,"jmp_buf *","jmp buf ptr","","","200825116328"
"jmp_buf_size","MemberRefExpr",615,615,"size_t","jmp buf size","size : Data-Structure and its Components","","200978490992"
"jmp_buf_local","MemberRefExpr",617,617,"jmp_buf","jmp buf local","","","200030373566"
"jmp_buf_ptr","MemberRefExpr",618,618,"jmp_buf *","jmp buf ptr","","","200468108276"
"jmp_buf_local","MemberRefExpr",618,618,"jmp_buf","jmp buf local","","","200275266508"
"jmp_buf_ptr","MemberRefExpr",622,622,"jmp_buf *","jmp buf ptr","","","201629807672"
"jmp_buf_ptr","MemberRefExpr",625,625,"jmp_buf *","jmp buf ptr","","","201459810138"
"jmp_buf_size","MemberRefExpr",628,628,"size_t","jmp buf size","size : Data-Structure and its Components","","202493397144"
"jmp_buf_size","MemberRefExpr",634,634,"size_t","jmp buf size","size : Data-Structure and its Components","","200492820284"
"jmp_buf_local","MemberRefExpr",638,638,"jmp_buf","jmp buf local","","","200614613593"
"jmp_buf_ptr","MemberRefExpr",639,639,"jmp_buf *","jmp buf ptr","","","202325712970"
"jmp_buf_local","MemberRefExpr",639,639,"jmp_buf","jmp buf local","","","201638913862"
"longjmp_fn","MemberRefExpr",661,661,"png_longjmp_ptr","longjmp fn","","","203817178327"
"jmp_buf_ptr","MemberRefExpr",662,662,"jmp_buf *","jmp buf ptr","","","200296481844"
"jmp_buf_ptr","MemberRefExpr",670,670,"jmp_buf *","jmp buf ptr","","","202985290378"
"jmp_buf_size","MemberRefExpr",675,675,"size_t","jmp buf size","size : Data-Structure and its Components","","203407193523"
"jmp_buf_local","MemberRefExpr",682,682,"jmp_buf","jmp buf local","","","200696920834"
"jmp_buf_ptr","MemberRefExpr",689,689,"jmp_buf *","jmp buf ptr","","","204005591855"
"jmp_buf_size","MemberRefExpr",690,690,"size_t","jmp buf size","size : Data-Structure and its Components","","204168296433"
"longjmp_fn","MemberRefExpr",691,691,"png_longjmp_ptr","longjmp fn","","","200712287785"
"jmp_buf_size","MemberRefExpr",698,698,"size_t","jmp buf size","size : Data-Structure and its Components","","201843052435"
"jmp_buf_ptr","MemberRefExpr",699,699,"jmp_buf *","jmp buf ptr","","","200001951950"
"longjmp_fn","MemberRefExpr",700,700,"png_longjmp_ptr","longjmp fn","","","203040012927"
"longjmp_fn","MemberRefExpr",761,761,"const png_longjmp_ptr","longjmp fn","","","204138808205"
"jmp_buf_ptr","MemberRefExpr",762,762,"jmp_buf *const","jmp buf ptr","","","201702197314"
"longjmp_fn","MemberRefExpr",763,763,"const png_longjmp_ptr","longjmp fn","","","201508759434"
"jmp_buf_ptr","MemberRefExpr",763,763,"jmp_buf *const","jmp buf ptr","","","202356997713"
"error_ptr","MemberRefExpr",841,841,"png_voidp","error ptr","error : Time Complexity / Space Complexity/ Memory/ Exception","","202665593459"
"error_fn","MemberRefExpr",842,842,"png_error_ptr","error fn","error : Time Complexity / Space Complexity/ Memory/ Exception","","202524147430"
"warning_fn","MemberRefExpr",844,844,"png_error_ptr","warning fn","","","202076397883"
"error_ptr","MemberRefExpr",861,861,"const png_voidp","error ptr","error : Time Complexity / Space Complexity/ Memory/ Exception","","202314562422"
"error_ptr","MemberRefExpr",889,889,"const png_voidp","error ptr","error : Time Complexity / Space Complexity/ Memory/ Exception","","203457053346"
"message","MemberRefExpr",896,896,"char [64]","message","","message","204102694407"
"message","MemberRefExpr",896,896,"char [64]","message","","message","201495262016"
"warning_or_error","MemberRefExpr",897,897,"png_uint_32","warning or error","error : Time Complexity / Space Complexity/ Memory/ Exception","","203471673340"
"opaque","MemberRefExpr",903,903,"png_controlp","opaque","","","203146029039"
"error_buf","MemberRefExpr",903,903,"png_voidp","error buf","error : Time Complexity / Space Complexity/ Memory/ Exception","","201725669476"
"opaque","MemberRefExpr",903,903,"png_controlp","opaque","","","200627072383"
"error_buf","MemberRefExpr",904,904,"png_voidp","error buf","error : Time Complexity / Space Complexity/ Memory/ Exception","","202951217611"
"opaque","MemberRefExpr",904,904,"png_controlp","opaque","","","201319277989"
"message","MemberRefExpr",908,908,"char [64]","message","","message","202901840949"
"message","MemberRefExpr",908,908,"char [64]","message","","message","203311042975"
"message","MemberRefExpr",910,910,"char [64]","message","","message","201977102203"
"message","MemberRefExpr",910,910,"char [64]","message","","message","201174361162"
"error_ptr","MemberRefExpr",924,924,"const png_voidp","error ptr","error : Time Complexity / Space Complexity/ Memory/ Exception","","201275477900"
"warning_or_error","MemberRefExpr",927,927,"png_uint_32","warning or error","error : Time Complexity / Space Complexity/ Memory/ Exception","","204079469257"
"message","MemberRefExpr",929,929,"char [64]","message","","message","202207662311"
"message","MemberRefExpr",929,929,"char [64]","message","","message","201257109206"
"warning_or_error","MemberRefExpr",930,930,"png_uint_32","warning or error","error : Time Complexity / Space Complexity/ Memory/ Exception","","201318023964"
"error_buf","MemberRefExpr",944,944,"png_voidp","error buf","error : Time Complexity / Space Complexity/ Memory/ Exception","","203292346959"
"opaque","MemberRefExpr",944,944,"png_controlp","opaque","","","202593424634"
"error_buf","MemberRefExpr",950,950,"png_voidp","error buf","error : Time Complexity / Space Complexity/ Memory/ Exception","","203987982687"
"opaque","MemberRefExpr",950,950,"png_controlp","opaque","","","204182186660"
"error_buf","MemberRefExpr",954,954,"png_voidp","error buf","error : Time Complexity / Space Complexity/ Memory/ Exception","","201575453529"
"opaque","MemberRefExpr",954,954,"png_controlp","opaque","","","203329187201"
"""0123456789ABCDEF""","StringLiteral",148,148,"const char [17]","""0123456789ABCDEF""","","","200284199521"
"""123456789""","StringLiteral",309,309,"const char [10]","""123456789""","","","204279899870"
"""fixed point overflow in ""","StringLiteral",577,577,"char [25]","""fixed point overflow in ""","overflow : Time Complexity / Space Complexity/ Memory/ Exception","","201683061524"
"""fixed point overflow in ""","StringLiteral",578,578,"char [25]","""fixed point overflow in ""","overflow : Time Complexity / Space Complexity/ Memory/ Exception","","202412143515"
"""fixed point overflow in ""","StringLiteral",578,578,"char [25]","""fixed point overflow in ""","overflow : Time Complexity / Space Complexity/ Memory/ Exception","","201996012598"
"""fixed point overflow in ""","StringLiteral",583,583,"char [25]","""fixed point overflow in ""","overflow : Time Complexity / Space Complexity/ Memory/ Exception","","202976467437"
"""fixed point overflow in ""","StringLiteral",586,586,"char [25]","""fixed point overflow in ""","overflow : Time Complexity / Space Complexity/ Memory/ Exception","","201290468120"
"""Libpng jmp_buf still allocated""","StringLiteral",646,646,"char [31]","""Libpng jmp buf still allocated""","","","203347551430"
"""Application jmp_buf size changed""","StringLiteral",653,653,"char [33]","""Application jmp buf size changed""","size : Data-Structure and its Components","","201062389303"
"""libpng error: %s""","StringLiteral",747,747,"char [17]","""libpng error: %s""","","","204251841184"
"""undefined""","StringLiteral",748,748,"char [10]","""undefined""","","","201045336118"
"""\n""","StringLiteral",749,749,"char [2]","""\n""","","","201248831105"
"""libpng warning: %s""","StringLiteral",819,819,"char [19]","""libpng warning: %s""","","","201455255573"
"""\n""","StringLiteral",820,820,"char [2]","""\n""","","","200667176883"
"""bad longjmp: ""","StringLiteral",909,909,"char [14]","""bad longjmp: ""","","","203023604475"
"png_ptr","UnexposedExpr",82,82,"const png_struct *","png ptr","","png","201659116184"
"error_fn","UnexposedExpr",82,82,"png_error_ptr","error fn","error : Time Complexity / Space Complexity/ Memory/ Exception","","203701777966"
"png_ptr","UnexposedExpr",82,82,"const png_struct *","png ptr","","png","201171628788"
"png_ptr","UnexposedExpr",83,83,"const png_struct *","png ptr","","png","201337123872"
"error_message","UnexposedExpr",84,84,"png_const_charp","error message","error : Time Complexity / Space Complexity/ Memory/ Exception","message","202622040508"
