"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"valid","MemberRefExpr",24,24,"const png_uint_32","valid","valid : Operations as part of Algorithms","","403907717880"
"rowbytes","MemberRefExpr",33,33,"const size_t","rowbytes","","","400262460539"
"row_pointers","MemberRefExpr",43,43,"const png_bytepp","row pointers","pointers : Time Complexity / Space Complexity/ Memory/ Exception","","401489878798"
"width","MemberRefExpr",55,55,"const png_uint_32","width","","","403519914160"
"height","MemberRefExpr",64,64,"const png_uint_32","height","height : Data-Structure and its Components","","400982674594"
"bit_depth","MemberRefExpr",73,73,"const png_byte","bit depth","bit : Data-Structure and its Components","depth","400581669723"
"color_type","MemberRefExpr",82,82,"const png_byte","color type","","color","401861718399"
"filter_type","MemberRefExpr",91,91,"const png_byte","filter type","","","401567184196"
"interlace_type","MemberRefExpr",100,100,"const png_byte","interlace type","","","402395371760"
"compression_type","MemberRefExpr",109,109,"const png_byte","compression type","","compression","401734349746"
"valid","MemberRefExpr",120,120,"const png_uint_32","valid","valid : Operations as part of Algorithms","","402406524293"
"phys_unit_type","MemberRefExpr",125,125,"const png_byte","phys unit type","","phys | unit","402397801547"
"x_pixels_per_unit","MemberRefExpr",126,126,"const png_uint_32","x pixels per unit","","unit","400467010233"
"valid","MemberRefExpr",142,142,"const png_uint_32","valid","valid : Operations as part of Algorithms","","402102498109"
"phys_unit_type","MemberRefExpr",147,147,"const png_byte","phys unit type","","phys | unit","400752774567"
"y_pixels_per_unit","MemberRefExpr",148,148,"const png_uint_32","y pixels per unit","","unit","400930144476"
"valid","MemberRefExpr",163,163,"const png_uint_32","valid","valid : Operations as part of Algorithms","","404075345515"
"phys_unit_type","MemberRefExpr",167,167,"const png_byte","phys unit type","","phys | unit","400539795648"
"x_pixels_per_unit","MemberRefExpr",168,168,"const png_uint_32","x pixels per unit","","unit","403635744877"
"y_pixels_per_unit","MemberRefExpr",168,168,"const png_uint_32","y pixels per unit","","unit","402559152526"
"x_pixels_per_unit","MemberRefExpr",169,169,"const png_uint_32","x pixels per unit","","unit","402881982186"
"valid","MemberRefExpr",186,186,"const png_uint_32","valid","valid : Operations as part of Algorithms","","402850856553"
"x_pixels_per_unit","MemberRefExpr",190,190,"const png_uint_32","x pixels per unit","","unit","404281526819"
"y_pixels_per_unit","MemberRefExpr",191,191,"const png_uint_32","y pixels per unit","","unit","403313123616"
"x_pixels_per_unit","MemberRefExpr",192,192,"const png_uint_32","x pixels per unit","","unit","400594363832"
"valid","MemberRefExpr",210,210,"const png_uint_32","valid","valid : Operations as part of Algorithms","","403504774282"
"x_pixels_per_unit","MemberRefExpr",211,211,"const png_uint_32","x pixels per unit","","unit","403058930078"
"y_pixels_per_unit","MemberRefExpr",211,211,"const png_uint_32","y pixels per unit","","unit","403985771842"
"x_pixels_per_unit","MemberRefExpr",212,212,"const png_uint_32","x pixels per unit","","unit","401842377632"
