"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"memset","CallExpr",33,33,"void *","memset","","","500686130354"
"png_free","CallExpr",34,34,"void","png free","free : Time Complexity / Space Complexity/ Memory/ Exception","png","503688497720"
"png_free_jmpbuf","CallExpr",38,38,"void","png free jmpbuf","free : Time Complexity / Space Complexity/ Memory/ Exception","png","503074722864"
"png_malloc","CallExpr",54,54,"png_voidp","png malloc","malloc : Time Complexity / Space Complexity/ Memory/ Exception","png","502083653880"
"memset","CallExpr",57,57,"void *","memset","","","504201751061"
"malloc_fn","CallExpr",91,91,"png_voidp","malloc fn","malloc : Time Complexity / Space Complexity/ Memory/ Exception","","501850348248"
"malloc","CallExpr",95,95,"void *","malloc","malloc : Time Complexity / Space Complexity/ Memory/ Exception","","500306769258"
"png_malloc_base","CallExpr",115,115,"png_voidp","png malloc base","malloc : Time Complexity / Space Complexity/ Memory/ Exception | base : Properties of Datastructure / Function / Blocks","png","503867379589"
"png_error","CallExpr",126,126,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","503463651503"
"png_malloc_array_checked","CallExpr",128,128,"png_voidp","png malloc array checked","malloc : Time Complexity / Space Complexity/ Memory/ Exception | array : Data-Structure and its Components | checked : Operations as part of Algorithms","png","501663423806"
"png_error","CallExpr",138,138,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","501956686103"
"png_malloc_array_checked","CallExpr",145,146,"png_voidp","png malloc array checked","malloc : Time Complexity / Space Complexity/ Memory/ Exception | array : Data-Structure and its Components | checked : Operations as part of Algorithms","png","500241103784"
"memcpy","CallExpr",154,154,"void *","memcpy","","","503843372018"
"memset","CallExpr",156,157,"void *","memset","","","501737752938"
"png_malloc_base","CallExpr",179,179,"png_voidp","png malloc base","malloc : Time Complexity / Space Complexity/ Memory/ Exception | base : Properties of Datastructure / Function / Blocks","png","501415926388"
"png_error","CallExpr",182,182,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","503617218957"
"png_malloc_base","CallExpr",198,198,"png_voidp","png malloc base","malloc : Time Complexity / Space Complexity/ Memory/ Exception | base : Properties of Datastructure / Function / Blocks","png","501424385316"
"png_error","CallExpr",201,201,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","500694223539"
"png_malloc_base","CallExpr",217,217,"png_voidp","png malloc base","malloc : Time Complexity / Space Complexity/ Memory/ Exception | base : Properties of Datastructure / Function / Blocks","png","500030190129"
"png_warning","CallExpr",222,222,"void","png warning","","png","502866304801"
"free_fn","CallExpr",239,239,"void","free fn","free : Time Complexity / Space Complexity/ Memory/ Exception","","500930490170"
"png_free_default","CallExpr",242,242,"void","png free default","free : Time Complexity / Space Complexity/ Memory/ Exception | default : Properties of Datastructure / Function / Blocks","png","501140191991"
"free","CallExpr",252,252,"void","free","free : Time Complexity / Space Complexity/ Memory/ Exception","","502714309228"
"malloc_fn","MemberRefExpr",90,90,"const png_malloc_ptr","malloc fn","malloc : Time Complexity / Space Complexity/ Memory/ Exception","","503365280194"
"malloc_fn","MemberRefExpr",91,91,"const png_malloc_ptr","malloc fn","malloc : Time Complexity / Space Complexity/ Memory/ Exception","","500773120889"
"free_fn","MemberRefExpr",238,238,"const png_free_ptr","free fn","free : Time Complexity / Space Complexity/ Memory/ Exception","","501379992233"
"free_fn","MemberRefExpr",239,239,"const png_free_ptr","free fn","free : Time Complexity / Space Complexity/ Memory/ Exception","","504150110026"
"mem_ptr","MemberRefExpr",265,265,"png_voidp","mem ptr","","","503288132658"
"malloc_fn","MemberRefExpr",266,266,"png_malloc_ptr","malloc fn","malloc : Time Complexity / Space Complexity/ Memory/ Exception","","503731848484"
"free_fn","MemberRefExpr",267,267,"png_free_ptr","free fn","free : Time Complexity / Space Complexity/ Memory/ Exception","","503791794164"
"mem_ptr","MemberRefExpr",281,281,"const png_voidp","mem ptr","","","503819093375"
"""internal error: array alloc""","StringLiteral",126,126,"char [28]","""internal error: array alloc""","array : Data-Structure and its Components","","501990173460"
"""internal error: array realloc""","StringLiteral",138,138,"char [30]","""internal error: array realloc""","array : Data-Structure and its Components","","503670117032"
"""Out of memory""","StringLiteral",182,182,"char [14]","""Out of memory""","","","501536502088"
"""Out of Memory""","StringLiteral",201,201,"char [14]","""Out of Memory""","","","501080347521"
"""Out of memory""","StringLiteral",222,222,"char [14]","""Out of memory""","","","502854874776"
"png_ptr","UnexposedExpr",27,27,"png_struct *","png ptr","","png","504067854957"
"png_ptr","UnexposedExpr",32,32,"png_struct *","png ptr","","png","501583471586"
"memset","UnexposedExpr",33,33,"void *(*)(void *, int, unsigned long)","memset","","","502698690035"
"png_ptr","UnexposedExpr",33,33,"void *","png ptr","","png","500570605240"
