"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"png_process_data","FunctionDecl",35,48,"void (png_structrp, png_inforp, png_bytep, size_t)","png process data","process : Operations as part of Algorithms | data : Data-Structure and its Components","png","604111905156"
"png_process_data_pause","FunctionDecl",50,75,"size_t (png_structrp, int)","png process data pause","process : Operations as part of Algorithms | data : Data-Structure and its Components","png","602877431117"
"png_process_data_skip","FunctionDecl",77,88,"png_uint_32 (png_structrp)","png process data skip","process : Operations as part of Algorithms | data : Data-Structure and its Components","png","602291767801"
"png_process_some_data","FunctionDecl",93,125,"void (png_structrp, png_inforp)","png process some data","process : Operations as part of Algorithms | data : Data-Structure and its Components","png","601439821664"
"png_push_read_sig","FunctionDecl",133,164,"void (png_structrp, png_inforp)","png push read sig","push : Operations as part of Algorithms | read : Operations as part of Data structure","png","601018073787"
"png_push_read_chunk","FunctionDecl",166,418,"void (png_structrp, png_inforp)","png push read chunk","push : Operations as part of Algorithms | read : Operations as part of Data structure","png | chunk","600022254133"
"png_push_fill_buffer","FunctionDecl",420,461,"void (png_structp, png_bytep, size_t)","png push fill buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","603625534267"
"png_push_save_buffer","FunctionDecl",463,521,"void (png_structrp)","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","603285744687"
"png_push_restore_buffer","FunctionDecl",523,531,"void (png_structrp, png_bytep, size_t)","png push restore buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","602315913041"
"png_push_read_IDAT","FunctionDecl",533,624,"void (png_structrp)","png push read IDAT","push : Operations as part of Algorithms | read : Operations as part of Data structure","png | idat","602466163341"
"png_process_IDAT_data","FunctionDecl",626,736,"void (png_structrp, png_bytep, size_t)","png process IDAT data","process : Operations as part of Algorithms | data : Data-Structure and its Components","png | idat","603758414701"
"png_push_process_row","FunctionDecl",738,966,"void (png_structrp)","png push process row","push : Operations as part of Algorithms | process : Operations as part of Algorithms","png","603270630247"
"png_read_push_finish_row","FunctionDecl",968,1032,"void (png_structrp)","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","603607129854"
"png_push_have_info","FunctionDecl",1034,1039,"void (png_structrp, png_inforp)","png push have info","push : Operations as part of Algorithms","png","602798106131"
"png_push_have_end","FunctionDecl",1041,1046,"void (png_structrp, png_inforp)","png push have end","push : Operations as part of Algorithms | end : Time Complexity / Space Complexity/ Memory/ Exception","png","603129670502"
"png_push_have_row","FunctionDecl",1048,1054,"void (png_structrp, png_bytep)","png push have row","push : Operations as part of Algorithms","png","600039427975"
"png_progressive_combine_row","FunctionDecl",1057,1070,"void (png_const_structrp, png_bytep, png_const_bytep)","png progressive combine row","","png | progressive","603935470597"
"png_set_progressive_read_fn","FunctionDecl",1073,1086,"void (png_structrp, png_voidp, png_progressive_info_ptr, png_progressive_row_ptr, png_progressive_end_ptr)","png set progressive read fn","set : Data-Structure and its Components | read : Operations as part of Data structure","png | progressive","603938485529"
"png_get_progressive_ptr","FunctionDecl",1088,1095,"png_voidp (png_const_structrp)","png get progressive ptr","get : Operations as part of Data structure","png | progressive","603760017564"
"png_push_restore_buffer","CallExpr",42,42,"void","png push restore buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","601100716414"
"png_process_some_data","CallExpr",46,46,"void","png process some data","process : Operations as part of Algorithms | data : Data-Structure and its Components","png","601931350885"
"png_push_save_buffer","CallExpr",59,59,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","603586421402"
"png_app_warning","CallExpr",85,86,"void","png app warning","","png | app","601208091261"
"png_push_read_sig","CallExpr",103,103,"void","png push read sig","push : Operations as part of Algorithms | read : Operations as part of Data structure","png","603798313599"
"png_push_read_chunk","CallExpr",109,109,"void","png push read chunk","push : Operations as part of Algorithms | read : Operations as part of Data structure","png | chunk","601188115841"
"png_push_read_IDAT","CallExpr",115,115,"void","png push read IDAT","push : Operations as part of Algorithms | read : Operations as part of Data structure","png | idat","602048370262"
"png_push_fill_buffer","CallExpr",144,145,"void","png push fill buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","601769842792"
"png_sig_cmp","CallExpr",148,148,"int","png sig cmp","","png","602948637477"
"png_sig_cmp","CallExpr",151,151,"int","png sig cmp","","png","600883121136"
"png_error","CallExpr",152,152,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","603692604394"
"png_error","CallExpr",155,155,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","602491990852"
"png_push_save_buffer","CallExpr",185,185,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","603908641316"
"png_push_fill_buffer","CallExpr",186,186,"void","png push fill buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","603231181900"
"png_get_uint_31","CallExpr",187,187,"png_uint_32","png get uint 31","get : Operations as part of Data structure","png","603650244862"
"png_reset_crc","CallExpr",188,188,"void","png reset crc","reset : Operations as part of Algorithms","png | crc","601203612336"
"png_crc_read","CallExpr",189,189,"void","png crc read","read : Operations as part of Data structure","png | crc","602902807308"
"png_check_chunk_name","CallExpr",191,191,"void","png check chunk name","check : Operations as part of Algorithms","png | chunk","603893253195"
"png_check_chunk_length","CallExpr",192,192,"void","png check chunk length","check : Operations as part of Algorithms | length : Operations as part of Algorithms","png | chunk","601661675368"
"png_error","CallExpr",208,208,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","600924945456"
"png_error","CallExpr",212,212,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","603840607360"
"png_benign_error","CallExpr",224,224,"void","png benign error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","600300629169"
"png_error","CallExpr",230,230,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","603678730419"
"png_push_save_buffer","CallExpr",232,232,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","601014131032"
"png_handle_IHDR","CallExpr",233,233,"void","png handle IHDR","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","603467675744"
"png_push_save_buffer","CallExpr",238,238,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","600941366368"
"png_handle_IEND","CallExpr",239,239,"void","png handle IEND","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","601557076344"
"png_push_have_end","CallExpr",242,242,"void","png push have end","push : Operations as part of Algorithms | end : Time Complexity / Space Complexity/ Memory/ Exception","png","601102545578"
"png_chunk_unknown_handling","CallExpr",246,246,"int","png chunk unknown handling","","png | chunk","603346132192"
"png_push_save_buffer","CallExpr",248,248,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","601619132492"
"png_handle_unknown","CallExpr",249,249,"void","png handle unknown","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","602821105126"
"png_push_save_buffer","CallExpr",258,258,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","602326918760"
"png_handle_PLTE","CallExpr",259,259,"void","png handle PLTE","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","600680215643"
"png_push_have_info","CallExpr",266,266,"void","png push have info","push : Operations as part of Algorithms","png","603557690880"
"png_push_save_buffer","CallExpr",277,277,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","604238812281"
"png_handle_gAMA","CallExpr",278,278,"void","png handle g AMA","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","600725936419"
"png_push_save_buffer","CallExpr",285,285,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","601218338771"
"png_handle_sBIT","CallExpr",286,286,"void","png handle s BIT","handle : Time Complexity / Space Complexity/ Memory/ Exception | bit : Data-Structure and its Components","png","601879260831"
"png_push_save_buffer","CallExpr",293,293,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","603459001840"
"png_handle_cHRM","CallExpr",294,294,"void","png handle c HRM","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","601879920499"
"png_push_save_buffer","CallExpr",301,301,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","603875243163"
"png_handle_sRGB","CallExpr",302,302,"void","png handle s RGB","handle : Time Complexity / Space Complexity/ Memory/ Exception","png | rgb","602270277573"
"png_push_save_buffer","CallExpr",309,309,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","601299662859"
"png_handle_iCCP","CallExpr",310,310,"void","png handle i CCP","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","601912985864"
"png_push_save_buffer","CallExpr",317,317,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","603116804030"
"png_handle_sPLT","CallExpr",318,318,"void","png handle s PLT","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","604193932683"
"png_push_save_buffer","CallExpr",325,325,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","600065926467"
"png_handle_tRNS","CallExpr",326,326,"void","png handle t RNS","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","600743455840"
"png_push_save_buffer","CallExpr",333,333,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","602475897238"
"png_handle_bKGD","CallExpr",334,334,"void","png handle b KGD","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","603993372592"
"png_push_save_buffer","CallExpr",341,341,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","601417425635"
"png_handle_hIST","CallExpr",342,342,"void","png handle h IST","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","602632089866"
"png_push_save_buffer","CallExpr",349,349,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","602011060339"
"png_handle_pHYs","CallExpr",350,350,"void","png handle p HYs","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","603636092442"
"png_push_save_buffer","CallExpr",357,357,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","601856500351"
"png_handle_oFFs","CallExpr",358,358,"void","png handle o FFs","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","601401440287"
"png_push_save_buffer","CallExpr",365,365,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","602663680254"
"png_handle_pCAL","CallExpr",366,366,"void","png handle p CAL","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","600586622240"
"png_push_save_buffer","CallExpr",373,373,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","602814872755"
"png_handle_sCAL","CallExpr",374,374,"void","png handle s CAL","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","603446233711"
"png_push_save_buffer","CallExpr",381,381,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","602750617504"
"png_handle_tIME","CallExpr",382,382,"void","png handle t IME","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","602338871921"
"png_push_save_buffer","CallExpr",389,389,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","601899456933"
"png_handle_tEXt","CallExpr",390,390,"void","png handle t EXt","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","600992673758"
"png_push_save_buffer","CallExpr",397,397,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","603065476417"
"png_handle_zTXt","CallExpr",398,398,"void","png handle z TXt","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","600183583212"
"png_push_save_buffer","CallExpr",405,405,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","603868853066"
"png_handle_iTXt","CallExpr",406,406,"void","png handle i TXt","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","600006386737"
"png_push_save_buffer","CallExpr",412,412,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","602696886421"
"png_handle_unknown","CallExpr",413,414,"void","png handle unknown","handle : Time Complexity / Space Complexity/ Memory/ Exception","png","602292156998"
"memcpy","CallExpr",439,439,"void *","memcpy","","","601021953982"
"memcpy","CallExpr",456,456,"void *","memcpy","","","602774227296"
"png_error","CallExpr",491,491,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","602267032637"
"png_malloc_warn","CallExpr",496,497,"png_voidp","png malloc warn","malloc : Time Complexity / Space Complexity/ Memory/ Exception","png","603421307837"
"png_free","CallExpr",501,501,"void","png free","free : Time Complexity / Space Complexity/ Memory/ Exception","png","601361174560"
"png_error","CallExpr",502,502,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","602996422437"
"memcpy","CallExpr",506,506,"void *","memcpy","","","602045682905"
"png_error","CallExpr",508,508,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","600842876292"
"png_free","CallExpr",509,509,"void","png free","free : Time Complexity / Space Complexity/ Memory/ Exception","png","601898053594"
"memcpy","CallExpr",514,515,"void *","memcpy","","","600031032213"
"png_push_save_buffer","CallExpr",542,542,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","602554920463"
"png_push_fill_buffer","CallExpr",543,543,"void","png push fill buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","603878135581"
"png_get_uint_31","CallExpr",544,544,"png_uint_32","png get uint 31","get : Operations as part of Data structure","png","601325978573"
"png_reset_crc","CallExpr",545,545,"void","png reset crc","reset : Operations as part of Algorithms","png | crc","600823622225"
"png_crc_read","CallExpr",546,546,"void","png crc read","read : Operations as part of Data structure","png | crc","603286778275"
"png_error","CallExpr",555,555,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","603736379560"
"png_calculate_crc","CallExpr",580,580,"void","png calculate crc","","png | crc","604238111501"
"png_process_IDAT_data","CallExpr",582,582,"void","png process IDAT data","process : Operations as part of Algorithms | data : Data-Structure and its Components","png | idat","601543645432"
"png_calculate_crc","CallExpr",606,606,"void","png calculate crc","","png | crc","602505070749"
"png_process_IDAT_data","CallExpr",608,608,"void","png process IDAT data","process : Operations as part of Algorithms | data : Data-Structure and its Components","png | idat","601190862069"
"png_push_save_buffer","CallExpr",618,618,"void","png push save buffer","push : Operations as part of Algorithms | buffer : Time Complexity / Space Complexity/ Memory/ Exception","png","603491660303"
"png_crc_finish","CallExpr",619,619,"int","png crc finish","","png | crc","602698722126"
"png_error","CallExpr",632,632,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","602459502421"
"png_zlib_inflate","CallExpr",671,671,"int","png zlib inflate","","png | zlib","603701591819"
"png_warning","CallExpr",685,685,"void","png warning","","png","602747257378"
"png_benign_error","CallExpr",690,690,"void","png benign error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","601642665828"
"png_error","CallExpr",692,692,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","603523381493"
"png_warning","CallExpr",710,710,"void","png warning","","png","601789132814"
"png_push_process_row","CallExpr",722,722,"void","png push process row","push : Operations as part of Algorithms | process : Operations as part of Algorithms","png","604269453838"
"png_warning","CallExpr",735,735,"void","png warning","","png","604032080243"
"png_read_filter_row","CallExpr",754,755,"void","png read filter row","read : Operations as part of Data structure","png","601410431118"
"png_error","CallExpr",757,757,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","601555892400"
"memcpy","CallExpr",765,765,"void *","memcpy","","","600855944687"
"png_do_read_transformations","CallExpr",769,769,"void","png do read transformations","do : Operations as part of Algorithms | read : Operations as part of Data structure","png","603546610921"
"png_error","CallExpr",777,777,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","603362619413"
"png_error","CallExpr",781,781,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","601540571506"
"png_do_read_interlace","CallExpr",790,791,"void","png do read interlace","do : Operations as part of Algorithms | read : Operations as part of Data structure","png","602507540313"
"png_push_have_row","CallExpr",800,800,"void","png push have row","push : Operations as part of Algorithms","png","604007429307"
"png_read_push_finish_row","CallExpr",801,801,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","601836596792"
"png_push_have_row","CallExpr",808,808,"void","png push have row","push : Operations as part of Algorithms","png","601382975368"
"png_read_push_finish_row","CallExpr",809,809,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","601496609963"
"png_push_have_row","CallExpr",817,817,"void","png push have row","push : Operations as part of Algorithms","png","602592676725"
"png_read_push_finish_row","CallExpr",818,818,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","604061753103"
"png_push_have_row","CallExpr",824,824,"void","png push have row","push : Operations as part of Algorithms","png","602437613862"
"png_read_push_finish_row","CallExpr",825,825,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","600276704902"
"png_push_have_row","CallExpr",836,836,"void","png push have row","push : Operations as part of Algorithms","png","601520493042"
"png_read_push_finish_row","CallExpr",837,837,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","601883636177"
"png_push_have_row","CallExpr",844,844,"void","png push have row","push : Operations as part of Algorithms","png","600145432918"
"png_read_push_finish_row","CallExpr",845,845,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","603690073997"
"png_push_have_row","CallExpr",858,858,"void","png push have row","push : Operations as part of Algorithms","png","603906689794"
"png_read_push_finish_row","CallExpr",859,859,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","604163878781"
"png_push_have_row","CallExpr",864,864,"void","png push have row","push : Operations as part of Algorithms","png","601256223532"
"png_read_push_finish_row","CallExpr",865,865,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","603154059187"
"png_push_have_row","CallExpr",872,872,"void","png push have row","push : Operations as part of Algorithms","png","600302490316"
"png_read_push_finish_row","CallExpr",873,873,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","602263205628"
"png_push_have_row","CallExpr",886,886,"void","png push have row","push : Operations as part of Algorithms","png","601772105326"
"png_read_push_finish_row","CallExpr",887,887,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","600167336906"
"png_push_have_row","CallExpr",894,894,"void","png push have row","push : Operations as part of Algorithms","png","602732470552"
"png_read_push_finish_row","CallExpr",895,895,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","602656395688"
"png_push_have_row","CallExpr",908,908,"void","png push have row","push : Operations as part of Algorithms","png","600595293966"
"png_read_push_finish_row","CallExpr",909,909,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","601925339045"
"png_push_have_row","CallExpr",914,914,"void","png push have row","push : Operations as part of Algorithms","png","603889287186"
"png_read_push_finish_row","CallExpr",915,915,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","603326311304"
"png_push_have_row","CallExpr",920,920,"void","png push have row","push : Operations as part of Algorithms","png","603297800337"
"png_read_push_finish_row","CallExpr",921,921,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","603475713496"
"png_push_have_row","CallExpr",933,933,"void","png push have row","push : Operations as part of Algorithms","png","603964371127"
"png_read_push_finish_row","CallExpr",934,934,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","603913302596"
"png_push_have_row","CallExpr",939,939,"void","png push have row","push : Operations as part of Algorithms","png","604153100106"
"png_read_push_finish_row","CallExpr",940,940,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","602262873056"
"png_push_have_row","CallExpr",949,949,"void","png push have row","push : Operations as part of Algorithms","png","602348743358"
"png_read_push_finish_row","CallExpr",950,950,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","602283644936"
"png_push_have_row","CallExpr",955,955,"void","png push have row","push : Operations as part of Algorithms","png","603800255314"
"png_read_push_finish_row","CallExpr",956,956,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","600237918563"
"png_push_have_row","CallExpr",963,963,"void","png push have row","push : Operations as part of Algorithms","png","602640761400"
"png_read_push_finish_row","CallExpr",964,964,"void","png read push finish row","read : Operations as part of Data structure | push : Operations as part of Algorithms","png","604198824782"
"memset","CallExpr",1000,1000,"void *","memset","","","601143976053"
"png_combine_row","CallExpr",1069,1069,"void","png combine row","","png","601070604356"
"png_set_read_fn","CallExpr",1085,1085,"void","png set read fn","set : Data-Structure and its Components | read : Operations as part of Data structure","png","604104908460"
"png_structrp","TypeRef",36,36,"png_structrp","png structrp","","png","603936473415"
"png_inforp","TypeRef",36,36,"png_inforp","png inforp","","png","600295589138"
"png_bytep","TypeRef",37,37,"png_bytep","png bytep","","png","601625718075"
"size_t","TypeRef",37,37,"size_t","size t","size : Data-Structure and its Components","","603868352649"
"size_t","TypeRef",50,50,"size_t","size t","size : Data-Structure and its Components","","603868352649"
"png_structrp","TypeRef",51,51,"png_structrp","png structrp","","png","603936473415"
"size_t","TypeRef",63,63,"size_t","size t","size : Data-Structure and its Components","","603868352649"
