"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"""Missing IHDR before IDAT""","StringLiteral",117,117,"char [25]","""Missing IHDR before IDAT""","","","702244320135"
"""Missing PLTE before IDAT""","StringLiteral",121,121,"char [25]","""Missing PLTE before IDAT""","","","702572631411"
"""Too many IDATs found""","StringLiteral",124,124,"char [21]","""Too many IDATs found""","","","701351909959"
"""png_read_update_info/png_start_read_image: duplicate call""","StringLiteral",287,287,"char [58]","""png read update info/png start read image: duplicate call""","read : Operations as part of Data structure | update : Operations as part of Data structure | start : Time Complexity / Space Complexity/ Memory/ Exception | read : Operations as part of Data structure","","702292059818"
"""png_start_read_image/png_read_update_info: duplicate call""","StringLiteral",310,310,"char [58]","""png start read image/png read update info: duplicate call""","start : Time Complexity / Space Complexity/ Memory/ Exception | read : Operations as part of Data structure | read : Operations as part of Data structure | update : Operations as part of Data structure","","703502231446"
"""Invalid attempt to read row data""","StringLiteral",539,539,"char [33]","""Invalid attempt to read row data""","read : Operations as part of Data structure","","701375091015"
"""bad adaptive filter value""","StringLiteral",551,551,"char [26]","""bad adaptive filter value""","","","702393716925"
"""sequential row overflow""","StringLiteral",580,580,"char [24]","""sequential row overflow""","","","703315472912"
"""internal sequential row size calculation error""","StringLiteral",584,584,"char [47]","""internal sequential row size calculation error""","sequential : Operations as part of Algorithms | size : Data-Structure and its Components","","701129337694"
"""Interlace handling should be turned on when using png_read_image""","StringLiteral",727,728,"char [65]","""Interlace handling should be turned on when using png read image""","read : Operations as part of Data structure","","701461487253"
"""Read palette index exceeding num_palette""","StringLiteral",789,789,"char [41]","""Read palette index exceeding num palette""","index : Data-Structure and its Components","","701959999215"
""".Too many IDATs found""","StringLiteral",816,816,"char [22]",""".Too many IDATs found""","","","700255471598"
"""..Too many IDATs found""","StringLiteral",834,834,"char [23]","""..Too many IDATs found""","","","700781189822"
"""Image is too high to process with png_read_png()""","StringLiteral",1060,1060,"char [49]","""Image is too high to process with png read png()""","process : Operations as part of Algorithms | read : Operations as part of Data structure","","700489106501"
"""1.6.38.git""","StringLiteral",1310,1310,"char [11]","""1.6.38.git""","","","704186678829"
"""png_image_read: out of memory""","StringLiteral",1347,1347,"char [30]","""png image read: out of memory""","out : Properties of Datastructure / Function / Blocks","image","700064439410"
"""png_image_read: opaque pointer not NULL""","StringLiteral",1350,1350,"char [40]","""png image read: opaque pointer not NULL""","pointer : Time Complexity / Space Complexity/ Memory/ Exception","image","703252901204"
"""png_image_begin_read_from_stdio: invalid argument""","StringLiteral",1491,1491,"char [50]","""png image begin read from stdio: invalid argument""","read : Operations as part of Data structure","image","704266250249"
"""png_image_begin_read_from_stdio: incorrect PNG_IMAGE_VERSION""","StringLiteral",1496,1496,"char [61]","""png image begin read from stdio: incorrect PNG IMAGE VERSION""","read : Operations as part of Data structure","image | image","700957793878"
"""rb""","StringLiteral",1508,1508,"char [3]","""rb""","","","703514455145"
"""png_image_begin_read_from_file: invalid argument""","StringLiteral",1529,1529,"char [49]","""png image begin read from file: invalid argument""","read : Operations as part of Data structure","image","702115708525"
"""png_image_begin_read_from_file: incorrect PNG_IMAGE_VERSION""","StringLiteral",1534,1534,"char [60]","""png image begin read from file: incorrect PNG IMAGE VERSION""","read : Operations as part of Data structure","image | image","700959675625"
"""read beyond end of data""","StringLiteral",1562,1562,"char [24]","""read beyond end of data""","end : Time Complexity / Space Complexity/ Memory/ Exception","","700538131322"
"""invalid memory read""","StringLiteral",1566,1566,"char [20]","""invalid memory read""","memory : Time Complexity / Space Complexity/ Memory/ Exception","","703969150662"
"""png_image_begin_read_from_memory: invalid argument""","StringLiteral",1594,1594,"char [51]","""png image begin read from memory: invalid argument""","read : Operations as part of Data structure","image","700970193039"
"""png_image_begin_read_from_memory: incorrect PNG_IMAGE_VERSION""","StringLiteral",1599,1599,"char [62]","""png image begin read from memory: incorrect PNG IMAGE VERSION""","read : Operations as part of Data structure","image | image","703682410448"
"""unexpected encoding (internal error)""","StringLiteral",1717,1717,"char [37]","""unexpected encoding (internal error)""","","","701091406245"
"""color-map index out of range""","StringLiteral",1773,1773,"char [29]","""color-map index out of range""","index : Data-Structure and its Components | out : Properties of Datastructure / Function / Blocks","","701230653683"
"""bad encoding (internal error)""","StringLiteral",1873,1873,"char [30]","""bad encoding (internal error)""","","","700971626066"
"""background color must be supplied to remove alpha/transparency""","StringLiteral",2128,2128,"char [63]","""background color must be supplied to remove alpha/transparency""","remove : Operations as part of Algorithms","","704257866297"
"""gray[8] color-map: too few entries""","StringLiteral",2192,2192,"char [35]","""gray[8] color-map: too few entries""","","","701898674599"
"""gray[16] color-map: too few entries""","StringLiteral",2271,2271,"char [36]","""gray[16] color-map: too few entries""","","","703554425370"
"""gray+alpha color-map: too few entries""","StringLiteral",2369,2369,"char [38]","""gray+alpha color-map: too few entries""","","","703217117678"
"""gray-alpha color-map: too few entries""","StringLiteral",2403,2403,"char [38]","""gray-alpha color-map: too few entries""","","","703304519574"
"""ga-alpha color-map: too few entries""","StringLiteral",2437,2437,"char [36]","""ga-alpha color-map: too few entries""","","","704271755763"
"""rgb[ga] color-map: too few entries""","StringLiteral",2542,2542,"char [35]","""rgb[ga] color-map: too few entries""","","","700684424000"
"""rgb[gray] color-map: too few entries""","StringLiteral",2556,2556,"char [37]","""rgb[gray] color-map: too few entries""","","","701507272875"
"""rgb+alpha color-map: too few entries""","StringLiteral",2661,2661,"char [37]","""rgb+alpha color-map: too few entries""","","","700748330933"
"""rgb-alpha color-map: too few entries""","StringLiteral",2710,2710,"char [37]","""rgb-alpha color-map: too few entries""","","","702953137782"
"""rgb color-map: too few entries""","StringLiteral",2795,2795,"char [31]","""rgb color-map: too few entries""","","","701074716032"
"""palette color-map: too few entries""","StringLiteral",2826,2826,"char [35]","""palette color-map: too few entries""","","","701155342289"
"""invalid PNG color type""","StringLiteral",2869,2869,"char [23]","""invalid PNG color type""","","","703285968729"
"""bad data option (internal error)""","StringLiteral",2892,2892,"char [33]","""bad data option (internal error)""","data : Data-Structure and its Components","","702297968259"
"""color map overflow (BAD internal error)""","StringLiteral",2897,2897,"char [40]","""color map overflow (BAD internal error)""","map : Data-Structure and its Components | overflow : Time Complexity / Space Complexity/ Memory/ Exception | internal : Properties of Datastructure / Function / Blocks","","703914469202"
"""bad processing option (internal error)""","StringLiteral",2931,2931,"char [39]","""bad processing option (internal error)""","processing : Operations as part of Algorithms","","701528389412"
"""bad background index (internal error)""","StringLiteral",2934,2934,"char [38]","""bad background index (internal error)""","index : Data-Structure and its Components","","702104980992"
"""unknown interlace type""","StringLiteral",2967,2967,"char [23]","""unknown interlace type""","","","702504243163"
"""bad color-map processing (internal error)""","StringLiteral",3205,3205,"char [42]","""bad color-map processing (internal error)""","processing : Operations as part of Algorithms","","700551301969"
"""unknown interlace type""","StringLiteral",3284,3284,"char [23]","""unknown interlace type""","","","704002039392"
"""lost rgb to gray""","StringLiteral",3409,3409,"char [17]","""lost rgb to gray""","","","703634887638"
"""unexpected compose""","StringLiteral",3412,3412,"char [19]","""unexpected compose""","","","701746065650"
"""lost/gained channels""","StringLiteral",3415,3415,"char [21]","""lost/gained channels""","","","700822642735"
"""unexpected 8-bit transformation""","StringLiteral",3420,3420,"char [32]","""unexpected 8-bit transformation""","","","703047219974"
"""unknown interlace type""","StringLiteral",3433,3433,"char [23]","""unknown interlace type""","","","702115922592"
"""unexpected bit depth""","StringLiteral",3663,3663,"char [21]","""unexpected bit depth""","bit : Data-Structure and its Components","","700575390211"
"""png_read_image: unsupported transformation""","StringLiteral",3963,3963,"char [43]","""png read image: unsupported transformation""","read : Operations as part of Data structure","","703221362704"
"""png_image_read: alpha channel lost""","StringLiteral",3998,3998,"char [35]","""png image read: alpha channel lost""","","image","700657631296"
"""unexpected alpha swap transformation""","StringLiteral",4024,4024,"char [37]","""unexpected alpha swap transformation""","swap : Operations as part of Algorithms","","700640845507"
"""png_read_image: invalid transformations""","StringLiteral",4032,4032,"char [40]","""png read image: invalid transformations""","read : Operations as part of Data structure","","701987086415"
"""png_image_finish_read[color-map]: no color-map""","StringLiteral",4199,4199,"char [47]","""png image finish read[color-map]: no color-map""","","image","700215522769"
"""png_image_finish_read: image too large""","StringLiteral",4204,4204,"char [39]","""png image finish read: image too large""","","image","701501527320"
"""png_image_finish_read: invalid argument""","StringLiteral",4209,4209,"char [40]","""png image finish read: invalid argument""","","image","702380709603"
"""png_image_finish_read: row_stride too large""","StringLiteral",4214,4214,"char [44]","""png image finish read: row stride too large""","","image","702368312697"
"""png_image_finish_read: damaged PNG_IMAGE_VERSION""","StringLiteral",4219,4219,"char [49]","""png image finish read: damaged PNG IMAGE VERSION""","","image | image","704194616109"
"image","FieldDecl",1286,1286,"png_imagep","image","","image","700983584127"
"buffer","FieldDecl",1287,1287,"png_voidp","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","702189383189"
"row_stride","FieldDecl",1288,1288,"png_int_32","row stride","","","701648437402"
"colormap","FieldDecl",1289,1289,"png_voidp","colormap","","","702787360912"
"background","FieldDecl",1290,1290,"png_const_colorp","background","","background","700840953531"
"local_row","FieldDecl",1292,1292,"png_voidp","local row","","","703349501478"
"first_row","FieldDecl",1293,1293,"png_voidp","first row","first : Data-Structure and its Components","","703390261704"
"row_bytes","FieldDecl",1294,1294,"ptrdiff_t","row bytes","bytes : Time Complexity / Space Complexity/ Memory/ Exception","","703229221345"
"file_encoding","FieldDecl",1295,1295,"int","file encoding","","","701573670635"
"gamma_to_linear","FieldDecl",1296,1296,"png_fixed_point","gamma to linear","linear : Properties of Datastructure / Function / Blocks","gamma","702261763864"
"colormap_processing","FieldDecl",1297,1297,"int","colormap processing","processing : Operations as part of Algorithms","","703739593255"
"pngpriv.h","inclusionDirective",17,17,"","pngpriv.h","","","700389873752"
"png_image_read_control","TypedefDecl",1283,1298,"png_image_read_control","png image read control","read : Operations as part of Data structure","png | image","703239091067"
