"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"check","VarDecl",52,52,"size_t","check","check : Operations as part of Algorithms","","803449583255"
"pngpriv.h","inclusionDirective",21,21,"","pngpriv.h","","","803237943588"
"png_ptr","ParmDecl",32,32,"png_structrp","png ptr","","png","803085176036"
"data","ParmDecl",32,32,"png_bytep","data","data : Data-Structure and its Components","","803313620356"
"length","ParmDecl",32,32,"size_t","length","length : Operations as part of Algorithms","","801036381832"
"png_ptr","ParmDecl",50,50,"png_structp","png ptr","","png","800804190079"
"data","ParmDecl",50,50,"png_bytep","data","data : Data-Structure and its Components","","803416302993"
"length","ParmDecl",50,50,"size_t","length","length : Operations as part of Algorithms","","801220240868"
"png_ptr","ParmDecl",87,87,"png_structrp","png ptr","","png","801785919184"
"io_ptr","ParmDecl",87,87,"png_voidp","io ptr","","","801875254939"
"read_data_fn","ParmDecl",88,88,"png_rw_ptr","read data fn","read : Operations as part of Data structure | data : Data-Structure and its Components","","801296809188"
"png_structrp","TypeRef",32,32,"png_structrp","png structrp","","png","801962538101"
"png_bytep","TypeRef",32,32,"png_bytep","png bytep","","png","802760819559"
"size_t","TypeRef",32,32,"size_t","size t","size : Data-Structure and its Components","","802682483434"
"png_structp","TypeRef",50,50,"png_structp","png structp","","png","802559134159"
"png_bytep","TypeRef",50,50,"png_bytep","png bytep","","png","802760819559"
"size_t","TypeRef",50,50,"size_t","size t","size : Data-Structure and its Components","","802682483434"
"size_t","TypeRef",52,52,"size_t","size t","size : Data-Structure and its Components","","802682483434"
"png_structrp","TypeRef",87,87,"png_structrp","png structrp","","png","801962538101"
"png_voidp","TypeRef",87,87,"png_voidp","png voidp","","png","801307012547"
"png_rw_ptr","TypeRef",88,88,"png_rw_ptr","png rw ptr","","png","800783463975"
"png_ptr","DeclRefExpr",36,36,"png_structrp","png ptr","","png","804288937058"
"png_ptr","DeclRefExpr",37,37,"png_structrp","png ptr","","png","801418347920"
"png_ptr","DeclRefExpr",37,37,"png_structrp","png ptr","","png","800204132390"
"data","DeclRefExpr",37,37,"png_bytep","data","data : Data-Structure and its Components","","803261140455"
"length","DeclRefExpr",37,37,"size_t","length","length : Operations as part of Algorithms","","801551194593"
"png_error","DeclRefExpr",40,40,"void (png_const_structrp, png_const_charp) __attribute__((noreturn))","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","800068793104"
"png_ptr","DeclRefExpr",40,40,"png_structrp","png ptr","","png","800453429150"
"png_ptr","DeclRefExpr",54,54,"png_structp","png ptr","","png","801750204399"
"check","DeclRefExpr",60,60,"size_t","check","check : Operations as part of Algorithms","","801118460348"
"fread","DeclRefExpr",60,60,"unsigned long (void *, unsigned long, unsigned long, FILE *)","fread","","","801475116045"
"data","DeclRefExpr",60,60,"png_bytep","data","data : Data-Structure and its Components","","801111301059"
"length","DeclRefExpr",60,60,"size_t","length","length : Operations as part of Algorithms","","801438927307"
"png_ptr","DeclRefExpr",60,60,"png_structp","png ptr","","png","802596948563"
"check","DeclRefExpr",62,62,"size_t","check","check : Operations as part of Algorithms","","800094245771"
"length","DeclRefExpr",62,62,"size_t","length","length : Operations as part of Algorithms","","800617324614"
"png_error","DeclRefExpr",63,63,"void (png_const_structrp, png_const_charp) __attribute__((noreturn))","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","803849899029"
"png_ptr","DeclRefExpr",63,63,"png_structp","png ptr","","png","802496536506"
"png_ptr","DeclRefExpr",90,90,"png_structrp","png ptr","","png","800053671486"
"png_ptr","DeclRefExpr",93,93,"png_structrp","png ptr","","png","801815840872"
"io_ptr","DeclRefExpr",93,93,"png_voidp","io ptr","","","803773934582"
"read_data_fn","DeclRefExpr",96,96,"png_rw_ptr","read data fn","read : Operations as part of Data structure | data : Data-Structure and its Components","","802361523501"
"png_ptr","DeclRefExpr",97,97,"png_structrp","png ptr","","png","802400189216"
"read_data_fn","DeclRefExpr",97,97,"png_rw_ptr","read data fn","read : Operations as part of Data structure | data : Data-Structure and its Components","","802020281861"
"png_ptr","DeclRefExpr",100,100,"png_structrp","png ptr","","png","800130052285"
"png_default_read_data","DeclRefExpr",100,100,"void (png_structp, png_bytep, size_t)","png default read data","default : Properties of Datastructure / Function / Blocks | read : Operations as part of Data structure | data : Data-Structure and its Components","png","804205856370"
"png_ptr","DeclRefExpr",107,107,"png_structrp","png ptr","","png","802794119367"
"png_ptr","DeclRefExpr",109,109,"png_structrp","png ptr","","png","803133262446"
"png_warning","DeclRefExpr",110,110,"void (png_const_structrp, png_const_charp)","png warning","","png","803605232676"
"png_ptr","DeclRefExpr",110,110,"png_structrp","png ptr","","png","801789007764"
"png_ptr","DeclRefExpr",117,117,"png_structrp","png ptr","","png","801241765952"
"""Call to NULL read function""","StringLiteral",40,40,"char [27]","""Call to NULL read function""","null : Properties of Datastructure / Function / Blocks | read : Operations as part of Data structure","","801222368183"
"""Read Error""","StringLiteral",63,63,"char [11]","""Read Error""","","","800174783420"
"""Can't set both read_data_fn and write_data_fn in the same structure""","StringLiteral",111,112,"char [68]","""Can't set both read data fn and write data fn in the same structure""","set : Data-Structure and its Components | read : Operations as part of Data structure | data : Data-Structure and its Components | write : Operations as part of Data structure | data : Data-Structure and its Components","","801713744654"
"read_data_fn","MemberRefExpr",36,36,"png_rw_ptr","read data fn","read : Operations as part of Data structure | data : Data-Structure and its Components","","802697554281"
"read_data_fn","MemberRefExpr",37,37,"png_rw_ptr","read data fn","read : Operations as part of Data structure | data : Data-Structure and its Components","","800897407719"
"io_ptr","MemberRefExpr",60,60,"png_voidp","io ptr","","","801762502191"
"io_ptr","MemberRefExpr",93,93,"png_voidp","io ptr","","","800352396401"
"read_data_fn","MemberRefExpr",97,97,"png_rw_ptr","read data fn","read : Operations as part of Data structure | data : Data-Structure and its Components","","800040375363"
"read_data_fn","MemberRefExpr",100,100,"png_rw_ptr","read data fn","read : Operations as part of Data structure | data : Data-Structure and its Components","","803191375123"
"write_data_fn","MemberRefExpr",107,107,"png_rw_ptr","write data fn","write : Operations as part of Data structure | data : Data-Structure and its Components","","803521627860"
"write_data_fn","MemberRefExpr",109,109,"png_rw_ptr","write data fn","write : Operations as part of Data structure | data : Data-Structure and its Components","","803374991412"
"output_flush_fn","MemberRefExpr",117,117,"png_flush_ptr","output flush fn","output : Data-Structure and its Components","","800401377366"
"read_data_fn","UnexposedExpr",36,36,"png_rw_ptr","read data fn","read : Operations as part of Data structure | data : Data-Structure and its Components","","800090614434"
"png_ptr","UnexposedExpr",36,36,"png_struct *","png ptr","","png","801330188025"
"png_ptr","UnexposedExpr",37,37,"png_struct *","png ptr","","png","802861486299"
"png_ptr","UnexposedExpr",37,37,"png_struct *","png ptr","","png","800900605341"
"data","UnexposedExpr",37,37,"png_bytep","data","data : Data-Structure and its Components","","803181004662"
"length","UnexposedExpr",37,37,"size_t","length","length : Operations as part of Algorithms","","802241705244"
"png_error","UnexposedExpr",40,40,"void (*)(png_const_structrp, png_const_charp) __attribute__((noreturn))","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","803577762513"
"png_ptr","UnexposedExpr",40,40,"const png_struct *","png ptr","","png","803163707355"
"png_ptr","UnexposedExpr",40,40,"png_struct *","png ptr","","png","804202807335"
"png_ptr","UnexposedExpr",54,54,"png_structp","png ptr","","png","803714357143"
"fread","UnexposedExpr",60,60,"unsigned long (*)(void *, unsigned long, unsigned long, FILE *)","fread","","","803785464456"
"data","UnexposedExpr",60,60,"void *","data","data : Data-Structure and its Components","","801439642143"
"data","UnexposedExpr",60,60,"png_bytep","data","data : Data-Structure and its Components","","801897761591"
"length","UnexposedExpr",60,60,"size_t","length","length : Operations as part of Algorithms","","803596365879"
"png_ptr","UnexposedExpr",60,60,"png_structp","png ptr","","png","803815147638"
"check","UnexposedExpr",62,62,"size_t","check","check : Operations as part of Algorithms","","802783534017"
"length","UnexposedExpr",62,62,"size_t","length","length : Operations as part of Algorithms","","802870804629"
"png_error","UnexposedExpr",63,63,"void (*)(png_const_structrp, png_const_charp) __attribute__((noreturn))","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","803020903489"
"png_ptr","UnexposedExpr",63,63,"const png_struct *","png ptr","","png","801199959821"
"png_ptr","UnexposedExpr",63,63,"png_structp","png ptr","","png","801275025607"
"png_ptr","UnexposedExpr",90,90,"png_struct *","png ptr","","png","804087320610"
"png_ptr","UnexposedExpr",93,93,"png_struct *","png ptr","","png","800294533276"
"io_ptr","UnexposedExpr",93,93,"png_voidp","io ptr","","","801371468437"
"read_data_fn","UnexposedExpr",96,96,"png_rw_ptr","read data fn","read : Operations as part of Data structure | data : Data-Structure and its Components","","801531455206"
"png_ptr","UnexposedExpr",97,97,"png_struct *","png ptr","","png","801120250566"
"read_data_fn","UnexposedExpr",97,97,"png_rw_ptr","read data fn","read : Operations as part of Data structure | data : Data-Structure and its Components","","804237680573"
"png_ptr","UnexposedExpr",100,100,"png_struct *","png ptr","","png","801112192391"
"png_default_read_data","UnexposedExpr",100,100,"void (*)(png_structp, png_bytep, size_t)","png default read data","default : Properties of Datastructure / Function / Blocks | read : Operations as part of Data structure | data : Data-Structure and its Components","png","802119828547"
"write_data_fn","UnexposedExpr",107,107,"png_rw_ptr","write data fn","write : Operations as part of Data structure | data : Data-Structure and its Components","","800780053230"
"png_ptr","UnexposedExpr",107,107,"png_struct *","png ptr","","png","800932131374"
"png_ptr","UnexposedExpr",109,109,"png_struct *","png ptr","","png","803337382548"
"png_warning","UnexposedExpr",110,110,"void (*)(png_const_structrp, png_const_charp)","png warning","","png","803000907707"
"png_ptr","UnexposedExpr",110,110,"const png_struct *","png ptr","","png","803424509192"
"png_ptr","UnexposedExpr",110,110,"png_struct *","png ptr","","png","803327901722"
"png_ptr","UnexposedExpr",117,117,"png_struct *","png ptr","","png","800296266636"
"png_error","CallExpr",40,40,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","801922851041"
"fread","CallExpr",60,60,"unsigned long","fread","","","800698459518"
"png_error","CallExpr",63,63,"void","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","801708288773"
"png_warning","CallExpr",110,112,"void","png warning","","png","802641794931"
"png_read_data","FunctionDecl",31,41,"void (png_structrp, png_bytep, size_t)","png read data","read : Operations as part of Data structure | data : Data-Structure and its Components","png","804018851683"
"png_default_read_data","FunctionDecl",49,64,"void (png_structp, png_bytep, size_t)","png default read data","default : Properties of Datastructure / Function / Blocks | read : Operations as part of Data structure | data : Data-Structure and its Components","png","801996149353"
"png_set_read_fn","FunctionDecl",86,119,"void (png_structrp, png_voidp, png_rw_ptr)","png set read fn","set : Data-Structure and its Components | read : Operations as part of Data structure","png","801969826848"
