"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"uval","VarDecl",24,24,"png_uint_32","uval","","","1003622925180"
"uval","VarDecl",43,43,"png_uint_32","uval","","","1000369078428"
"uval","VarDecl",70,74,"png_uint_32","uval","","","1001769299779"
"uval","VarDecl",87,87,"png_uint_32","uval","","","1003235103595"
"val","VarDecl",110,112,"unsigned int","val","","","1003146738448"
"num_checked","VarDecl",123,123,"size_t","num checked","checked : Operations as part of Algorithms","","1003650405630"
"num_to_check","VarDecl",123,123,"size_t","num to check","check : Operations as part of Algorithms","","1001686072003"
"buf","VarDecl",158,158,"png_byte [8]","buf","","","1001785264923"
"length","VarDecl",159,159,"png_uint_32","length","length : Operations as part of Algorithms","","1002616451471"
"len","VarDecl",218,218,"png_uint_32","len","","","1003149975323"
"tmpbuf","VarDecl",219,219,"png_byte [1024]","tmpbuf","","","1003171950487"
"crc_bytes","VarDecl",253,253,"png_byte [4]","crc bytes","bytes : Time Complexity / Space Complexity/ Memory/ Exception","crc","1002828071460"
"crc","VarDecl",254,254,"png_uint_32","crc","","crc","1001128334183"
"need_crc","VarDecl",255,255,"int","need crc","","crc","1002608326481"
"buffer","VarDecl",300,300,"png_bytep","buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","1001490673075"
"msg","VarDecl",345,345,"char [64]","msg","","","1003668463855"
"ret","VarDecl",375,375,"int","ret","","","1002005203939"
"window_bits","VarDecl",377,377,"int","window bits","","","1003988467105"
"ret","VarDecl",490,490,"int","ret","","","1002577789501"
"avail_out","VarDecl",491,491,"png_alloc_size_t","avail out","out : Properties of Datastructure / Function / Blocks","","1001093629601"
"avail_in","VarDecl",492,492,"png_uint_32","avail in","","","1003176789538"
"avail","VarDecl",516,516,"uInt","avail","","","1003499796984"
"local_buffer","VarDecl",517,517,"Byte [1024]","local buffer","buffer : Time Complexity / Space Complexity/ Memory/ Exception","","1001384106268"
"limit","VarDecl",621,621,"png_alloc_size_t","limit","","","1001736697672"
"ret","VarDecl",634,634,"int","ret","","","1003023319841"
