"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"pngpriv.h","inclusionDirective",19,19,"","pngpriv.h","","","1100535223506"
"png_const_structrp","TypeRef",25,25,"png_const_structrp","png const structrp","const : Properties of Datastructure / Function / Blocks","png","1100554164378"
"png_inforp","TypeRef",25,25,"png_inforp","png inforp","","png","1104266270749"
"png_const_color_16p","TypeRef",26,26,"png_const_color_16p","png const color 16p","const : Properties of Datastructure / Function / Blocks","png | color","1103036736107"
"png_const_structrp","TypeRef",40,40,"png_const_structrp","png const structrp","const : Properties of Datastructure / Function / Blocks","png","1100554164378"
"png_inforp","TypeRef",40,40,"png_inforp","png inforp","","png","1104266270749"
"png_fixed_point","TypeRef",41,41,"png_fixed_point","png fixed point","","png","1101824863096"
"png_fixed_point","TypeRef",41,41,"png_fixed_point","png fixed point","","png","1101824863096"
"png_fixed_point","TypeRef",41,41,"png_fixed_point","png fixed point","","png","1101824863096"
"png_fixed_point","TypeRef",42,42,"png_fixed_point","png fixed point","","png","1101824863096"
"png_fixed_point","TypeRef",42,42,"png_fixed_point","png fixed point","","png","1101824863096"
"png_fixed_point","TypeRef",42,42,"png_fixed_point","png fixed point","","png","1101824863096"
"png_fixed_point","TypeRef",43,43,"png_fixed_point","png fixed point","","png","1101824863096"
"png_fixed_point","TypeRef",43,43,"png_fixed_point","png fixed point","","png","1101824863096"
"png_xy","TypeRef",45,45,"png_xy","png xy","","png","1102491669162"
"png_const_structrp","TypeRef",69,69,"png_const_structrp","png const structrp","const : Properties of Datastructure / Function / Blocks","png","1100554164378"
"png_inforp","TypeRef",69,69,"png_inforp","png inforp","","png","1104266270749"
"png_fixed_point","TypeRef",70,70,"png_fixed_point","png fixed point","","png","1101824863096"
"png_fixed_point","TypeRef",70,70,"png_fixed_point","png fixed point","","png","1101824863096"
"png_fixed_point","TypeRef",71,71,"png_fixed_point","png fixed point","","png","1101824863096"
"png_fixed_point","TypeRef",71,71,"png_fixed_point","png fixed point","","png","1101824863096"
"png_fixed_point","TypeRef",72,72,"png_fixed_point","png fixed point","","png","1101824863096"
"png_fixed_point","TypeRef",72,72,"png_fixed_point","png fixed point","","png","1101824863096"
"png_fixed_point","TypeRef",73,73,"png_fixed_point","png fixed point","","png","1101824863096"
"png_fixed_point","TypeRef",73,73,"png_fixed_point","png fixed point","","png","1101824863096"
"png_fixed_point","TypeRef",74,74,"png_fixed_point","png fixed point","","png","1101824863096"
"png_XYZ","TypeRef",76,76,"png_XYZ","png XYZ","","png","1102498806381"
"png_const_structrp","TypeRef",102,102,"png_const_structrp","png const structrp","const : Properties of Datastructure / Function / Blocks","png","1100554164378"
"png_inforp","TypeRef",102,102,"png_inforp","png inforp","","png","1104266270749"
"png_const_structrp","TypeRef",118,118,"png_const_structrp","png const structrp","const : Properties of Datastructure / Function / Blocks","png","1100554164378"
"png_inforp","TypeRef",118,118,"png_inforp","png inforp","","png","1104266270749"
"png_const_structrp","TypeRef",139,139,"png_const_structrp","png const structrp","const : Properties of Datastructure / Function / Blocks","png","1100554164378"
"png_inforp","TypeRef",139,139,"png_inforp","png inforp","","png","1104266270749"
"png_bytep","TypeRef",140,140,"png_bytep","png bytep","","png","1102004773136"
"png_const_structrp","TypeRef",148,148,"png_const_structrp","png const structrp","const : Properties of Datastructure / Function / Blocks","png","1100554164378"
"png_inforp","TypeRef",148,148,"png_inforp","png inforp","","png","1104266270749"
"png_uint_32","TypeRef",149,149,"png_uint_32","png uint 32","","png","1102350579565"
"png_bytep","TypeRef",149,149,"png_bytep","png bytep","","png","1102004773136"
"png_const_structrp","TypeRef",186,186,"png_const_structrp","png const structrp","const : Properties of Datastructure / Function / Blocks","png","1100554164378"
"png_inforp","TypeRef",186,186,"png_inforp","png inforp","","png","1104266270749"
"png_fixed_point","TypeRef",187,187,"png_fixed_point","png fixed point","","png","1101824863096"
"png_const_structrp","TypeRef",200,200,"png_const_structrp","png const structrp","const : Properties of Datastructure / Function / Blocks","png","1100554164378"
"png_inforp","TypeRef",200,200,"png_inforp","png inforp","","png","1104266270749"
"png_const_structrp","TypeRef",210,210,"png_const_structrp","png const structrp","const : Properties of Datastructure / Function / Blocks","png","1100554164378"
"png_inforp","TypeRef",210,210,"png_inforp","png inforp","","png","1104266270749"
"png_const_uint_16p","TypeRef",211,211,"png_const_uint_16p","png const uint 16p","const : Properties of Datastructure / Function / Blocks","png","1100882659625"
"png_uint_16","TypeRef",235,235,"png_uint_16","png uint 16","","png","1100915399737"
"png_const_structrp","TypeRef",254,254,"png_const_structrp","png const structrp","const : Properties of Datastructure / Function / Blocks","png","1100554164378"
"png_inforp","TypeRef",254,254,"png_inforp","png inforp","","png","1104266270749"
"png_uint_32","TypeRef",255,255,"png_uint_32","png uint 32","","png","1102350579565"
"png_uint_32","TypeRef",255,255,"png_uint_32","png uint 32","","png","1102350579565"
"png_byte","TypeRef",266,266,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1103437488081"
