"File name","Comment Id","Comment Text","Comment Tokens","Comment scope","Prog.dom matches (comm.)","Prob.dom matches (comm.)","Identifier symbol","Identifier type","Identifier tokens","Identifier scopes","prog.dom matches (id)","prob. dom matches (id)","prog.dom matches (comm+id)","prob. dom matches (comm+id)","Symbol ids"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",1,"pngtest.c - a simple test program to test libpng
 *
 * Copyright (c) 2018-2019 Cosmin Truta
 * Copyright (c) 1998-2002,2004,2006-2018 Glenn Randers-Pehrson
 * Copyright (c) 1996-1997 Andreas Dilger
 * Copyright (c) 1995-1996 Guy Eric Schalnat, Group 42, Inc.
 *
 * This code is released under the libpng license.
 * For conditions of distribution and use, see the disclaimer
 * and license in png.h
 *
 * This program reads in a PNG image, writes it out again, and then
 * compares the two files.  If the files are identical, this shows that
 * the basic chunk handling, filtering, and (de)compression code is working
 * properly.  It does not currently test all of the transforms, although
 * it probably should.
 *
 * The program will report ""FAIL"" in certain legitimate cases:
 * 1) when the compression level or filter selection method is changed.
 * 2) when the maximum IDAT size (PNG_ZBUF_SIZE in pngconf.h) is not 8192.
 * 3) unknown unsafe-to-copy ancillary chunks or unknown critical chunks
 *    exist in the input file.
 * 4) others not listed here...
 * In these cases, it is best to check with another tool such as ""pngcheck""
 * to see what the differences between the two files are.
 *
 * If a filename is given on the command-line, then this file is used
 * for the input, rather than the default ""pngtest.png"".  This allows
 * testing a wide variety of files easily.  You can also test a number
 * of files at once by typing ""pngtest -m file1.png file2.png ...""","pngtest ||| c ||| - ||| simple ||| test ||| program ||| test ||| libpng ||| copyright ||| c ||| 2018-2019 ||| cosmin ||| truta ||| copyright ||| c ||| 1998-2002 ||| 2004 ||| 2006-2018 ||| glenn ||| randers-pehrson ||| copyright ||| c ||| 1996-1997 ||| andreas ||| dilger ||| copyright ||| c ||| 1995-1996 ||| guy ||| eric ||| schalnat ||| group ||| 42 ||| inc ||| code ||| released ||| libpng ||| license ||| for ||| conditions ||| distribution ||| use ||| see ||| disclaimer ||| license ||| png ||| h ||| program ||| reads ||| png ||| image ||| writes ||| compares ||| two ||| files ||| if ||| files ||| identical ||| shows ||| basic ||| chunk ||| handling ||| filtering ||| de ||| compression ||| code ||| working ||| properly ||| currently ||| test ||| transforms ||| although ||| probably ||| program ||| report ||| fail ||| certain ||| legitimate ||| cases ||| 1 ||| compression ||| level ||| filter ||| selection ||| method ||| changed ||| 2 ||| maximum ||| idat ||| size ||| png_zbuf_size ||| pngconf ||| h ||| 8192 ||| 3 ||| unknown ||| unsafe-to-copy ||| ancillary ||| chunks ||| unknown ||| critical ||| chunks ||| exist ||| input ||| file ||| 4 ||| others ||| listed ||| cases ||| best ||| check ||| another ||| tool ||| pngcheck ||| see ||| differences ||| two ||| files ||| if ||| filename ||| given ||| command-line ||| file ||| used ||| for ||| input ||| rather ||| default ||| pngtest ||| png ||| allows ||| testing ||| wide ||| variety ||| files ||| easily ||| also ||| test ||| number ||| files ||| typing ||| pngtest ||| -m ||| file1 ||| png ||| file2 ||| png ||| ","2: 39","['group', 'Operations as part of Data structure']  ['for', 'Operations as part of Algorithms']  ['if', 'Operations as part of Algorithms']  ['fail', 'Time Complexity / Space Complexity/ Memory/ Exception']  ['level', 'Data-Structure and its Components']  ['maximum', 'Operations as part of Data structure']  ['size', 'Data-Structure and its Components']  ['input', 'Operations as part of Algorithms']  ['check', 'Operations as part of Algorithms']  ['if', 'Operations as part of Algorithms']  ['for', 'Operations as part of Algorithms']  ['input', 'Operations as part of Algorithms']  ['default', 'Properties of Datastructure / Function / Blocks']  ['number', 'Data-Structure and its Components']","libpng ||| libpng ||| png ||| png ||| image ||| chunk ||| compression ||| compression ||| idat ||| png ||| png ||| png ||| cosmin truta ||| glenn randers-pehrson ||| andreas dilger ||| guy eric schalnat","_POSIX_SOURCE ||| stdio.h ||| stdlib.h ||| string.h","macroDefinition :  ||| inclusionDirective :  ||| inclusionDirective :  ||| inclusionDirective : ","POSIX SOURCE ||| stdio.h ||| stdlib.h ||| string.h","34: 34 ||| 36: 36 ||| 37: 37 ||| 38: 38"," |||  |||  ||| "," |||  |||  ||| ","","","2204096978385 ||| 2201710020980 ||| 2203344186240 ||| 2202984790487"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",2,"Defined so I can write to a file on gui/windowing platforms","defined ||| i ||| write ||| file ||| gui ||| windowing ||| platforms ||| ","40: 41","['write', 'Operations as part of Data structure']","","","","","","","","","",""
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",3,"#define STDERR stderr","define ||| stderr ||| stderr ||| ","40: 41","","","","","","","","","","",""
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",4,"For DOS","for ||| dos ||| ","42: 42","['for', 'Operations as part of Algorithms']","","STDERR","macroDefinition : ","STDERR","42: 42","","","","","2200779544999"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",5,"Known chunks that exist in pngtest.png must be supported or pngtest will fail
 * simply as a result of re-ordering them.  This may be fixed in 1.7
 *
 * pngtest allocates a single row buffer for each row and overwrites it,
 * therefore if the write side doesn't support the writing of interlaced images
 * nothing can be done for an interlaced image (and the code below will fail
 * horribly trying to write extra data after writing garbage).","known ||| chunks ||| exist ||| pngtest ||| png ||| must ||| supported ||| pngtest ||| fail ||| simply ||| result ||| re-ordering ||| may ||| fixed ||| 1 ||| 7 ||| pngtest ||| allocates ||| single ||| row ||| buffer ||| for ||| row ||| overwrites ||| therefore ||| if ||| write ||| side ||| doesnt ||| support ||| writing ||| interlaced ||| images ||| nothing ||| done ||| for ||| interlaced ||| image ||| code ||| fail ||| horribly ||| trying ||| write ||| extra ||| data ||| writing ||| garbage ||| ","46: 53","['fail', 'Time Complexity / Space Complexity/ Memory/ Exception']  ['result', 'Data-Structure and its Components']  ['allocates', 'Operations as part of Algorithms']  ['buffer', 'Time Complexity / Space Complexity/ Memory/ Exception']  ['for', 'Operations as part of Algorithms']  ['if', 'Operations as part of Algorithms']  ['write', 'Operations as part of Data structure']  ['for', 'Operations as part of Algorithms']  ['fail', 'Time Complexity / Space Complexity/ Memory/ Exception']  ['write', 'Operations as part of Data structure']  ['data', 'Data-Structure and its Components']  ['garbage', 'Time Complexity / Space Complexity/ Memory/ Exception']","png ||| interlaced ||| images ||| interlaced ||| image","","","","","","","","",""
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",6,"else nothing can be done","else ||| nothing ||| done ||| ","54: 54","['else', 'Operations as part of Algorithms']","","","","","","","","","",""
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",7,"defined by pnglibconf.h from 1.7","defined ||| pnglibconf ||| h ||| 1 ||| 7 ||| ","71: 71","","","","","","","","","","",""
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",8,"Copied from pngpriv.h but only used in error messages below.","copied ||| pngpriv ||| h ||| used ||| error ||| messages ||| ","76: 85","['error', 'Time Complexity / Space Complexity/ Memory/ Exception']","","","","","","","","","",""
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",9,"Makes pngtest verbose so we can find problems.","makes ||| pngtest ||| verbose ||| find ||| problems ||| ","86: 101","['makes', 'Time Complexity / Space Complexity/ Memory/ Exception']","","","","","","","","","",""
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",10,"Makes buffer overruns easier to nail","makes ||| buffer ||| overruns ||| easier ||| nail ||| ","102: 102","['makes', 'Time Complexity / Space Complexity/ Memory/ Exception']  ['buffer', 'Time Complexity / Space Complexity/ Memory/ Exception']","","","","","","","","","",""
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",11,"Turn on CPU timing
#define PNGTEST_TIMING","turn ||| cpu ||| timing ||| define ||| pngtest_timing ||| ","109: 140","","","""tIME chunk is not present"" ||| tIME_chunk_present ||| tIME_string","StringLiteral : char [29] ||| VarDecl : int ||| VarDecl : char [29]","""t IME chunk is not present"" ||| t IME chunk present ||| t IME string","125: 125 ||| 124: 124 ||| 125: 125"," |||  ||| string : Data-Structure and its Components"," ||| chunk ||| ","","","2201270877432 ||| 2200057932907 ||| 2200341521256"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",12,"older libpng","older ||| libpng ||| ","141: 141","","libpng","","","","","","","","",""
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",13,"chunk unsupported by libpng in input","chunk ||| unsupported ||| libpng ||| input ||| ","148: 148","['input', 'Operations as part of Algorithms']","chunk ||| libpng","unsupported_chunks","VarDecl : int","unsupported chunks","148: 148","","","","","2203703195588"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",14,"count calls to png_error","count ||| calls ||| png_error ||| ","149: 149","['count', 'Operations as part of Algorithms']","png_error","error_count","VarDecl : int","error count","149: 149","error : Time Complexity / Space Complexity/ Memory/ Exception | count : Operations as part of Algorithms","","","","2201416026419"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",15,"count calls to png_warning","count ||| calls ||| png_warning ||| ","150: 150","['count', 'Operations as part of Algorithms']","","warning_count","VarDecl : int","warning count","150: 150","count : Operations as part of Algorithms","","count","","2200739766206"
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",16,"Define png_jmpbuf() in case we are using a pre-1.0.6 version of libpng","define ||| png_jmpbuf ||| case ||| using ||| pre-1 ||| 0 ||| 6 ||| version ||| libpng ||| ","152: 156","['case', 'Operations as part of Algorithms']","libpng","","","","","","","","",""
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",17,"Defines for unknown chunk handling if required.","defines ||| for ||| unknown ||| chunk ||| handling ||| if ||| required ||| ","157: 164","['for', 'Operations as part of Algorithms']  ['if', 'Operations as part of Algorithms']","chunk","","","","","","","","",""
"/home/dewang/smartKT/SmartKTRepo/projects/libpng/pngtest.c",18,"Utility to save typing/errors, the argument must be a name","utility ||| save ||| typing ||| errors ||| argument ||| must ||| name ||| ","165: 167","['utility', 'Properties of Datastructure / Function / Blocks']  ['argument', 'Data-Structure and its Components']","","","","","","","","","",""
