"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"png_app_error","CallExpr",174,176,"void","png app error","error : Time Complexity / Space Complexity/ Memory/ Exception","png | app","1203496475553"
"png_app_error","CallExpr",181,182,"void","png app error","error : Time Complexity / Space Complexity/ Memory/ Exception","png | app","1200597200796"
"png_set_filler","CallExpr",212,212,"void","png set filler","set : Data-Structure and its Components","png | filler","1204016392876"
"png_app_error","CallExpr",814,815,"void","png app error","error : Time Complexity / Space Complexity/ Memory/ Exception","png | app","1201584000710"
"rp","VarDecl",271,271,"png_bytep","rp","","","1202400134783"
"i","VarDecl",272,272,"size_t","i","","","1203542292544"
"istop","VarDecl",273,273,"size_t","istop","","","1202775028540"
"rp","VarDecl",285,285,"png_bytep","rp","","","1203358780857"
"i","VarDecl",286,286,"size_t","i","","","1201137556364"
"istop","VarDecl",287,287,"size_t","istop","","","1202934959431"
"rp","VarDecl",300,300,"png_bytep","rp","","","1203047555152"
"i","VarDecl",301,301,"size_t","i","","","1200816641852"
"istop","VarDecl",302,302,"size_t","istop","","","1200440292775"
"rp","VarDecl",325,325,"png_bytep","rp","","","1203549147628"
"i","VarDecl",326,326,"png_uint_32","i","","","1204245678050"
"istop","VarDecl",327,327,"png_uint_32","istop","","","1202939115261"
"t","VarDecl",337,337,"png_byte","t","","","1202511877622"
"onebppswaptable","VarDecl",348,381,"const png_byte [256]","onebppswaptable","","","1201455109491"
"twobppswaptable","VarDecl",383,416,"const png_byte [256]","twobppswaptable","","","1200630998323"
"fourbppswaptable","VarDecl",418,451,"const png_byte [256]","fourbppswaptable","","","1201926061053"
"rp","VarDecl",461,461,"png_bytep","rp","","","1201517476727"
"end","VarDecl",462,462,"png_const_bytep","end","end : Time Complexity / Space Complexity/ Memory/ Exception","","1204208732998"
"table","VarDecl",462,462,"png_const_bytep","table","","","1203347441841"
"sp","VarDecl",497,497,"png_bytep","sp","","","1203824077324"
"dp","VarDecl",498,498,"png_bytep","dp","","","1202052771270"
"ep","VarDecl",499,499,"png_bytep","ep","","","1200144902642"
"row_width","VarDecl",625,625,"png_uint_32","row width","","","1201426348137"
"rp","VarDecl",630,630,"png_bytep","rp","","","1204136845827"
"i","VarDecl",631,631,"png_uint_32","i","","","1200973509066"
"save","VarDecl",635,635,"png_byte","save","","","1203605415534"
"rp","VarDecl",643,643,"png_bytep","rp","","","1202770009504"
"i","VarDecl",644,644,"png_uint_32","i","","","1202011488658"
"save","VarDecl",648,648,"png_byte","save","","","1204280536971"
"rp","VarDecl",660,660,"png_bytep","rp","","","1200406012229"
"i","VarDecl",661,661,"png_uint_32","i","","","1201849704697"
"save","VarDecl",665,665,"png_byte","save","","","1203945036279"
"rp","VarDecl",676,676,"png_bytep","rp","","","1204216261101"
"i","VarDecl",677,677,"png_uint_32","i","","","1201137134542"
"save","VarDecl",681,681,"png_byte","save","","","1201113846521"
"padding","VarDecl",710,710,"int","padding","","padding","1200596044524"
"rp","VarDecl",711,711,"png_bytep","rp","","","1203987233680"
"i","VarDecl",734,734,"int","i","","","1200599372854"
"i","VarDecl",764,764,"int","i","","","1200310835808"
"png_structrp","TypeRef",21,21,"png_structrp","png structrp","","png","1202100007783"
"png_structrp","TypeRef",35,35,"png_structrp","png structrp","","png","1202100007783"
"png_structrp","TypeRef",50,50,"png_structrp","png structrp","","png","1202100007783"
"png_structrp","TypeRef",70,70,"png_structrp","png structrp","","png","1202100007783"
"png_structrp","TypeRef",84,84,"png_structrp","png structrp","","png","1202100007783"
"png_const_color_8p","TypeRef",84,84,"png_const_color_8p","png const color 8p","const : Properties of Datastructure / Function / Blocks","png | color","1203101188768"
"png_structrp","TypeRef",99,99,"png_structrp","png structrp","","png","1202100007783"
"png_structrp","TypeRef",120,120,"png_structrp","png structrp","","png","1202100007783"
"png_uint_32","TypeRef",120,120,"png_uint_32","png uint 32","","png","1202816100230"
"png_uint_16","TypeRef",141,141,"png_uint_16","png uint 16","","png","1204088815976"
"png_structrp","TypeRef",205,205,"png_structrp","png structrp","","png","1202100007783"
"png_uint_32","TypeRef",205,205,"png_uint_32","png uint 32","","png","1202816100230"
"png_structrp","TypeRef",223,223,"png_structrp","png structrp","","png","1202100007783"
"png_structrp","TypeRef",237,237,"png_structrp","png structrp","","png","1202100007783"
"png_structrp","TypeRef",250,250,"png_structrp","png structrp","","png","1202100007783"
"png_row_infop","TypeRef",262,262,"png_row_infop","png row infop","","png","1200674143649"
"png_bytep","TypeRef",262,262,"png_bytep","png bytep","","png","1202920491128"
"png_bytep","TypeRef",271,271,"png_bytep","png bytep","","png","1202920491128"
"size_t","TypeRef",272,272,"size_t","size t","size : Data-Structure and its Components","","1204032776833"
"size_t","TypeRef",273,273,"size_t","size t","size : Data-Structure and its Components","","1204032776833"
"png_byte","TypeRef",277,277,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1204207032129"
"png_bytep","TypeRef",285,285,"png_bytep","png bytep","","png","1202920491128"
"size_t","TypeRef",286,286,"size_t","size t","size : Data-Structure and its Components","","1204032776833"
"size_t","TypeRef",287,287,"size_t","size t","size : Data-Structure and its Components","","1204032776833"
"png_byte","TypeRef",291,291,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1204207032129"
"png_bytep","TypeRef",300,300,"png_bytep","png bytep","","png","1202920491128"
"size_t","TypeRef",301,301,"size_t","size t","size : Data-Structure and its Components","","1204032776833"
"size_t","TypeRef",302,302,"size_t","size t","size : Data-Structure and its Components","","1204032776833"
"png_byte","TypeRef",306,306,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1204207032129"
"png_byte","TypeRef",307,307,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1204207032129"
"png_row_infop","TypeRef",319,319,"png_row_infop","png row infop","","png","1200674143649"
"png_bytep","TypeRef",319,319,"png_bytep","png bytep","","png","1202920491128"
"png_bytep","TypeRef",325,325,"png_bytep","png bytep","","png","1202920491128"
"png_uint_32","TypeRef",326,326,"png_uint_32","png uint 32","","png","1202816100230"
"png_uint_32","TypeRef",327,327,"png_uint_32","png uint 32","","png","1202816100230"
"png_byte","TypeRef",337,337,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1204207032129"
"png_byte","TypeRef",348,348,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1204207032129"
"png_byte","TypeRef",383,383,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1204207032129"
"png_byte","TypeRef",418,418,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1204207032129"
"png_row_infop","TypeRef",455,455,"png_row_infop","png row infop","","png","1200674143649"
"png_bytep","TypeRef",455,455,"png_bytep","png bytep","","png","1202920491128"
"png_bytep","TypeRef",461,461,"png_bytep","png bytep","","png","1202920491128"
"png_const_bytep","TypeRef",462,462,"png_const_bytep","png const bytep","const : Properties of Datastructure / Function / Blocks","png","1203511250882"
"png_row_infop","TypeRef",495,495,"png_row_infop","png row infop","","png","1200674143649"
"png_bytep","TypeRef",495,495,"png_bytep","png bytep","","png","1202920491128"
"png_bytep","TypeRef",497,497,"png_bytep","png bytep","","png","1202920491128"
"png_bytep","TypeRef",498,498,"png_bytep","png bytep","","png","1202920491128"
"png_bytep","TypeRef",499,499,"png_bytep","png bytep","","png","1202920491128"
"size_t","TypeRef",612,612,"size_t","size t","size : Data-Structure and its Components","","1204032776833"
"png_row_infop","TypeRef",619,619,"png_row_infop","png row infop","","png","1200674143649"
"png_bytep","TypeRef",619,619,"png_bytep","png bytep","","png","1202920491128"
"png_uint_32","TypeRef",625,625,"png_uint_32","png uint 32","","png","1202816100230"
"png_bytep","TypeRef",630,630,"png_bytep","png bytep","","png","1202920491128"
"png_uint_32","TypeRef",631,631,"png_uint_32","png uint 32","","png","1202816100230"
"png_byte","TypeRef",635,635,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1204207032129"
"png_bytep","TypeRef",643,643,"png_bytep","png bytep","","png","1202920491128"
"png_uint_32","TypeRef",644,644,"png_uint_32","png uint 32","","png","1202816100230"
"png_byte","TypeRef",648,648,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1204207032129"
"png_bytep","TypeRef",660,660,"png_bytep","png bytep","","png","1202920491128"
"png_uint_32","TypeRef",661,661,"png_uint_32","png uint 32","","png","1202816100230"
"png_byte","TypeRef",665,665,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1204207032129"
"png_bytep","TypeRef",676,676,"png_bytep","png bytep","","png","1202920491128"
"png_uint_32","TypeRef",677,677,"png_uint_32","png uint 32","","png","1202816100230"
"png_byte","TypeRef",681,681,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1204207032129"
"png_structrp","TypeRef",699,699,"png_structrp","png structrp","","png","1202100007783"
"png_row_infop","TypeRef",699,699,"png_row_infop","png row infop","","png","1200674143649"
"png_uint_32","TypeRef",710,710,"png_uint_32","png uint 32","","png","1202816100230"
"png_bytep","TypeRef",711,711,"png_bytep","png bytep","","png","1202920491128"
"png_structrp","TypeRef",802,802,"png_structrp","png structrp","","png","1202100007783"
"png_voidp","TypeRef",802,802,"png_voidp","png voidp","","png","1203240327591"
"png_byte","TypeRef",821,821,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1204207032129"
"png_byte","TypeRef",822,822,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1204207032129"
"png_voidp","TypeRef",832,832,"png_voidp","png voidp","","png","1203240327591"
"png_const_structrp","TypeRef",833,833,"png_const_structrp","png const structrp","const : Properties of Datastructure / Function / Blocks","png","1201594760381"
"png_uint_32","TypeRef",843,843,"png_uint_32","png uint 32","","png","1202816100230"
"png_const_structrp","TypeRef",844,844,"png_const_structrp","png const structrp","const : Properties of Datastructure / Function / Blocks","png","1201594760381"
"png_uint_32","TypeRef",852,852,"png_uint_32","png uint 32","","png","1202816100230"
