"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"png_write_data","FunctionDecl",32,42,"void (png_structrp, png_const_bytep, size_t)","png write data","write : Operations as part of Data structure | data : Data-Structure and its Components","png","1302757727942"
"png_default_write_data","FunctionDecl",50,62,"void (png_structp, png_bytep, size_t)","png default write data","default : Properties of Datastructure / Function / Blocks | write : Operations as part of Data structure | data : Data-Structure and its Components","png","1301386165978"
"png_flush","FunctionDecl",70,75,"void (png_structrp)","png flush","","png","1301051546785"
"png_default_flush","FunctionDecl",78,88,"void (png_structp)","png default flush","default : Properties of Datastructure / Function / Blocks","png","1304141336626"
"png_set_write_fn","FunctionDecl",121,167,"void (png_structrp, png_voidp, png_rw_ptr, png_flush_ptr)","png set write fn","set : Data-Structure and its Components | write : Operations as part of Data structure","png","1302286523049"
"png_ptr","ParmDecl",33,33,"png_structrp","png ptr","","png","1300477685325"
"data","ParmDecl",33,33,"png_const_bytep","data","data : Data-Structure and its Components","","1300389366330"
"length","ParmDecl",33,33,"size_t","length","length : Operations as part of Algorithms","","1303108730482"
"png_ptr","ParmDecl",51,51,"png_structp","png ptr","","png","1300279917966"
"data","ParmDecl",51,51,"png_bytep","data","data : Data-Structure and its Components","","1302740948581"
"length","ParmDecl",51,51,"size_t","length","length : Operations as part of Algorithms","","1301480208331"
"png_ptr","ParmDecl",71,71,"png_structrp","png ptr","","png","1300310205250"
"png_ptr","ParmDecl",79,79,"png_structp","png ptr","","png","1301006953725"
"png_ptr","ParmDecl",122,122,"png_structrp","png ptr","","png","1301708249615"
"io_ptr","ParmDecl",122,122,"png_voidp","io ptr","","","1303266631215"
"write_data_fn","ParmDecl",123,123,"png_rw_ptr","write data fn","write : Operations as part of Data structure | data : Data-Structure and its Components","","1302952423441"
"output_flush_fn","ParmDecl",123,123,"png_flush_ptr","output flush fn","output : Data-Structure and its Components","","1303510105436"
"png_ptr","DeclRefExpr",36,36,"png_structrp","png ptr","","png","1300901905978"
"png_ptr","DeclRefExpr",37,37,"png_structrp","png ptr","","png","1301219602202"
"png_ptr","DeclRefExpr",37,37,"png_structrp","png ptr","","png","1300549898681"
"data","DeclRefExpr",37,37,"png_const_bytep","data","data : Data-Structure and its Components","","1301524720038"
"length","DeclRefExpr",38,38,"size_t","length","length : Operations as part of Algorithms","","1304264154475"
"png_error","DeclRefExpr",41,41,"void (png_const_structrp, png_const_charp) __attribute__((noreturn))","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1303710385453"
"png_ptr","DeclRefExpr",41,41,"png_structrp","png ptr","","png","1302901325697"
"png_ptr","DeclRefExpr",55,55,"png_structp","png ptr","","png","1302962236503"
"check","DeclRefExpr",58,58,"size_t","check","check : Operations as part of Algorithms","","1302876383987"
"fwrite","DeclRefExpr",58,58,"unsigned long (const void *, unsigned long, unsigned long, FILE *)","fwrite","","","1301022081708"
"data","DeclRefExpr",58,58,"png_bytep","data","data : Data-Structure and its Components","","1304230007483"
"length","DeclRefExpr",58,58,"size_t","length","length : Operations as part of Algorithms","","1301296011149"
"png_ptr","DeclRefExpr",58,58,"png_structp","png ptr","","png","1302765831734"
"check","DeclRefExpr",60,60,"size_t","check","check : Operations as part of Algorithms","","1301711938270"
"length","DeclRefExpr",60,60,"size_t","length","length : Operations as part of Algorithms","","1302934928161"
"png_error","DeclRefExpr",61,61,"void (png_const_structrp, png_const_charp) __attribute__((noreturn))","png error","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1300479127925"
"png_ptr","DeclRefExpr",61,61,"png_structp","png ptr","","png","1302054541034"
"png_ptr","DeclRefExpr",73,73,"png_structrp","png ptr","","png","1301047194888"
"png_ptr","DeclRefExpr",74,74,"png_structrp","png ptr","","png","1301920190319"
"png_ptr","DeclRefExpr",74,74,"png_structrp","png ptr","","png","1303371964908"
"png_ptr","DeclRefExpr",83,83,"png_structp","png ptr","","png","1303658310683"
