"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"png_structrp","TypeRef",24,24,"png_structrp","png structrp","","png","1402637097971"
"png_const_inforp","TypeRef",24,24,"png_const_inforp","png const inforp","const : Properties of Datastructure / Function / Blocks","png","1402841580617"
"png_const_unknown_chunkp","TypeRef",29,29,"png_const_unknown_chunkp","png const unknown chunkp","const : Properties of Datastructure / Function / Blocks","png","1402312538303"
"png_structrp","TypeRef",84,84,"png_structrp","png structrp","","png","1402637097971"
"png_const_inforp","TypeRef",84,84,"png_const_inforp","png const inforp","const : Properties of Datastructure / Function / Blocks","png","1402841580617"
"png_structrp","TypeRef",192,192,"png_structrp","png structrp","","png","1402637097971"
"png_const_inforp","TypeRef",192,192,"png_const_inforp","png const inforp","const : Properties of Datastructure / Function / Blocks","png","1402841580617"
"png_uint_32","TypeRef",207,207,"png_uint_32","png uint 32","","png","1402585245676"
"png_byte","TypeRef",228,228,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1403095898580"
"png_structrp","TypeRef",358,358,"png_structrp","png structrp","","png","1402637097971"
"png_inforp","TypeRef",358,358,"png_inforp","png inforp","","png","1400330580081"
"png_timep","TypeRef",467,467,"png_timep","png timep","","png","1404166428136"
"struct tm","TypeRef",467,467,"struct tm","struct tm","struct : Data-Structure and its Components","","1401440598853"
"png_uint_16","TypeRef",471,471,"png_uint_16","png uint 16","","png","1403218473998"
"png_byte","TypeRef",472,472,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1403095898580"
"png_byte","TypeRef",473,473,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1403095898580"
"png_byte","TypeRef",474,474,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1403095898580"
"png_byte","TypeRef",475,475,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1403095898580"
"png_byte","TypeRef",476,476,"png_byte","png byte","byte : Time Complexity / Space Complexity/ Memory/ Exception","png","1403095898580"
"png_timep","TypeRef",480,480,"png_timep","png timep","","png","1404166428136"
"time_t","TypeRef",480,480,"time_t","time t","time : Time Complexity / Space Complexity/ Memory/ Exception","time","1401589282145"
"struct tm","TypeRef",482,482,"struct tm","struct tm","struct : Data-Structure and its Components","","1401440598853"
"png_structp","TypeRef",492,492,"png_structp","png structp","","png","1402537819433"
"png_const_charp","TypeRef",493,493,"png_const_charp","png const charp","const : Properties of Datastructure / Function / Blocks","png","1400084756024"
"png_voidp","TypeRef",493,493,"png_voidp","png voidp","","png","1401646011724"
"png_error_ptr","TypeRef",494,494,"png_error_ptr","png error ptr","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1400135740428"
"png_error_ptr","TypeRef",494,494,"png_error_ptr","png error ptr","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1400135740428"
"png_structp","TypeRef",505,505,"png_structp","png structp","","png","1402537819433"
"png_const_charp","TypeRef",506,506,"png_const_charp","png const charp","const : Properties of Datastructure / Function / Blocks","png","1400084756024"
"png_voidp","TypeRef",506,506,"png_voidp","png voidp","","png","1401646011724"
"png_error_ptr","TypeRef",507,507,"png_error_ptr","png error ptr","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1400135740428"
"png_error_ptr","TypeRef",507,507,"png_error_ptr","png error ptr","error : Time Complexity / Space Complexity/ Memory/ Exception","png","1400135740428"
"png_voidp","TypeRef",507,507,"png_voidp","png voidp","","png","1401646011724"
"png_malloc_ptr","TypeRef",508,508,"png_malloc_ptr","png malloc ptr","malloc : Time Complexity / Space Complexity/ Memory/ Exception","png","1404027652222"
"png_free_ptr","TypeRef",508,508,"png_free_ptr","png free ptr","free : Time Complexity / Space Complexity/ Memory/ Exception","png","1403070250021"
