"Symbol","Type","Start line","End line","Data type","Identifier tokens","Program Domain matches","Problem Domain matches","Symbol id"
"buf","DeclRefExpr",26,26,"png_bytep","buf","","","1601228017346"
"i","DeclRefExpr",26,26,"png_uint_32","i","","","1602326846278"
"buf","DeclRefExpr",27,27,"png_bytep","buf","","","1602586087955"
"i","DeclRefExpr",27,27,"png_uint_32","i","","","1600931777471"
"buf","DeclRefExpr",28,28,"png_bytep","buf","","","1604196699167"
"i","DeclRefExpr",28,28,"png_uint_32","i","","","1600094714742"
"buf","DeclRefExpr",29,29,"png_bytep","buf","","","1600471304396"
"i","DeclRefExpr",29,29,"png_uint_32","i","","","1601308813950"
"buf","DeclRefExpr",39,39,"png_bytep","buf","","","1601754939470"
"i","DeclRefExpr",39,39,"unsigned int","i","","","1602248368589"
"buf","DeclRefExpr",40,40,"png_bytep","buf","","","1603973218112"
"i","DeclRefExpr",40,40,"unsigned int","i","","","1603333527034"
"png_ptr","DeclRefExpr",57,57,"png_structrp","png ptr","","png","1602023176873"
"png_write_data","DeclRefExpr",61,61,"void (png_structrp, png_const_bytep, size_t)","png write data","write : Operations as part of Data structure | data : Data-Structure and its Components","png","1600445053977"
"png_ptr","DeclRefExpr",61,61,"png_structrp","png ptr","","png","1601298127595"
"png_signature","DeclRefExpr",61,61,"png_byte [8]","png signature","","png | signature","1600386465777"
"png_ptr","DeclRefExpr",61,61,"png_structrp","png ptr","","png","1602603742251"
"png_ptr","DeclRefExpr",62,62,"png_structrp","png ptr","","png","1603230211233"
"png_ptr","DeclRefExpr",64,64,"png_structrp","png ptr","","png","1600716068801"
"png_ptr","DeclRefExpr",65,65,"png_structrp","png ptr","","png","1601262979952"
"png_ptr","DeclRefExpr",83,83,"png_structrp","png ptr","","png","1600693155893"
"png_ptr","DeclRefExpr",90,90,"png_structrp","png ptr","","png","1601147929244"
"png_save_uint_32","DeclRefExpr",94,94,"void (png_bytep, png_uint_32)","png save uint 32","","png","1604106862481"
"buf","DeclRefExpr",94,94,"png_byte [8]","buf","","","1602666613044"
"length","DeclRefExpr",94,94,"png_uint_32","length","length : Operations as part of Algorithms","","1601704235723"
"png_save_uint_32","DeclRefExpr",95,95,"void (png_bytep, png_uint_32)","png save uint 32","","png","1603454547874"
"buf","DeclRefExpr",95,95,"png_byte [8]","buf","","","1604249752532"
"chunk_name","DeclRefExpr",95,95,"png_uint_32","chunk name","","chunk","1600701195546"
"png_write_data","DeclRefExpr",96,96,"void (png_structrp, png_const_bytep, size_t)","png write data","write : Operations as part of Data structure | data : Data-Structure and its Components","png","1604085785442"
"png_ptr","DeclRefExpr",96,96,"png_structrp","png ptr","","png","1600932544356"
"buf","DeclRefExpr",96,96,"png_byte [8]","buf","","","1602634394455"
"png_ptr","DeclRefExpr",99,99,"png_structrp","png ptr","","png","1601454739139"
"chunk_name","DeclRefExpr",99,99,"png_uint_32","chunk name","","chunk","1602565857858"
"png_reset_crc","DeclRefExpr",102,102,"void (png_structrp)","png reset crc","reset : Operations as part of Algorithms","png | crc","1600029324204"
"png_ptr","DeclRefExpr",102,102,"png_structrp","png ptr","","png","1603563687526"
"png_calculate_crc","DeclRefExpr",104,104,"void (png_structrp, png_const_bytep, size_t)","png calculate crc","","png | crc","1600644929952"
"png_ptr","DeclRefExpr",104,104,"png_structrp","png ptr","","png","1601942142481"
"buf","DeclRefExpr",104,104,"png_byte [8]","buf","","","1601697605172"
"png_ptr","DeclRefExpr",110,110,"png_structrp","png ptr","","png","1600724316622"
"png_write_chunk_header","DeclRefExpr",118,118,"void (png_structrp, png_uint_32, png_uint_32)","png write chunk header","write : Operations as part of Data structure","png | chunk","1600180448507"
"png_ptr","DeclRefExpr",118,118,"png_structrp","png ptr","","png","1601347680440"
"chunk_string","DeclRefExpr",118,118,"png_const_bytep","chunk string","string : Data-Structure and its Components","chunk","1602396072002"
"chunk_string","DeclRefExpr",118,118,"png_const_bytep","chunk string","string : Data-Structure and its Components","chunk","1601817071037"
"chunk_string","DeclRefExpr",118,118,"png_const_bytep","chunk string","string : Data-Structure and its Components","chunk","1600031935758"
"chunk_string","DeclRefExpr",118,118,"png_const_bytep","chunk string","string : Data-Structure and its Components","chunk","1600465174970"
