phrase,most_sim_1,score_1,most_sim_2,score_2,most_sim_3,score_3,most_sim_4,score_4,most_sim_5,score_5,most_sim_6,score_6,most_sim_7,score_7,most_sim_8,score_8,most_sim_9,score_9,most_sim_10,score_10
foul,fell,0.6026079654693604,fight,0.5496312379837036,baseball,0.5467586517333984,basketball,0.5196508169174194,grenade,0.5105007886886597,soccer,0.5093399286270142,innings,0.5062998533248901,bowl,0.5055125951766968,wounded,0.5041651129722595,knock,0.5007160902023315
prefix,suffix,0.815711259841919,prefixed,0.6255654692649841,sufix,0.5657259225845337,servier,0.5207291841506958,preffix,0.4859058260917663,suf,0.4841441810131073,suff,0.4698770940303802,taglib,0.4644847512245178,subsequence,0.4553582072257995,lcp,0.4277260601520538
increase,decrease,0.925610899925232,grow,0.6869266033172607,reduce,0.6485506892204285,diminish,0.6252497434616089,lower,0.5919424295425415,exceed,0.5630015134811401,significant,0.5598627328872681,large,0.5456103086471558,dramatical,0.5443617105484009,high,0.5431516170501709
digit,decimal,0.5941548347473145,character,0.5762051343917847,letter,0.5670833587646484,hexadecimal,0.5583065152168274,numeral,0.5553814172744751,number,0.5317562818527222,alphanumeric,0.5306955575942993,two-digit,0.5256314277648926,octal,0.5239188075065613,isdigit,0.5023443698883057
vixie,cron-like,0.4866747856140136,crontab,0.465709924697876,hwclock,0.4494733810424804,autosy,0.4447397589683532,cron,0.4433599412441253,crone,0.4416728019714355,control-m,0.4401202499866485,coghlan,0.4312112629413605,debian-based,0.4290252923965454,incron,0.4257839620113373
qlen,qdisc,0.6925377249717712,pfifo,0.6611024141311646,noqueue,0.6324012875556946,mtu,0.5612330436706543,promisc,0.5451445579528809,rtnetlink,0.5090698003768921,overlimit,0.4957466721534729,netif,0.4883078932762146,brd,0.4648167490959167,ifru,0.4560304880142212
succession,repeated,0.5365885496139526,successive,0.4910120964050293,twice,0.4774029552936554,consecutive,0.4559564888477325,rapid,0.4530362486839294,thereafter,0.4139547646045685,reaction,0.4060984253883362,thrice,0.4017683267593384,repeat,0.3959321081638336,simultaneous,0.3955652117729187
incremented,decremented,0.8441779613494873,increment,0.8051191568374634,decrement,0.7968961000442505,incrementation,0.6763612031936646,increament,0.5718004107475281,counter,0.5539827942848206,decrementation,0.5093222856521606,incriment,0.4941022396087646,overwritten,0.4843295216560364,incrementer,0.4556875228881836
elegant,idiomatic,0.611542820930481,neat,0.5903548002243042,awkward,0.5751469135284424,straight-forward,0.5743160247802734,clumsy,0.5737494826316833,convolute,0.5686208605766296,cleanest,0.5672239065170288,pythonic,0.5663896799087524,concise,0.5646781921386719,nicer,0.5574280619621277
end-position,begin,0.6050249338150024,start,0.5531842708587646,postion,0.4883942008018493,offset,0.486588716506958,else,0.4683867990970611,left,0.4498408734798431,angle,0.4423679709434509,current,0.4065530896186828,mid,0.4034849405288696,next,0.4002377986907959
increasing,nowaday,0.738832414150238,advent,0.6861735582351685,widespread,0.6663823127746582,commonplace,0.6624587774276733,proliferation,0.609698474407196,rapid,0.6035964488983154,mainstream,0.5956273674964905,emerge,0.5906490087509155,especial,0.5843576788902283,grown,0.5814367532730103
protocol-connect,connection,0.6049676537513733,tcp,0.5935928821563721,disconnect,0.5876320600509644,port,0.5705849528312683,socket,0.5699594020843506,tunnel,0.5365029573440552,connector,0.515461266040802,telnet,0.511860728263855,udp,0.505912721157074,host,0.505339503288269
reported,rumored,0.5921459197998047,unofficial,0.5682640075683594,shocked,0.5668054819107056,ironical,0.5645812749862671,supposed,0.551959753036499,circa,0.5486605167388916,boast,0.5241022706031799,notoriou,0.5203649401664734,worldwide,0.5200883150100708,arrested,0.508309006690979
server-sent,send,0.7474040985107422,sever,0.6875306367874146,receive,0.6700205206871033,recieve,0.592841625213623,recieved,0.5706226229667664,client,0.5505197048187256,incom,0.5503274202346802,sended,0.5310442447662354,webserver,0.5279182195663452,relayed,0.5213133096694946
data->stateresume_from,mydatum,0.4913056790828705,raw,0.4289878308773041,dset,0.4279156029224396,mdatum,0.4251022338867187,json,0.4218761920928955,newdatum,0.4175471067428589,alldatum,0.4144230782985687,tabular,0.4101808369159698,getdatum,0.4012680053710937,yourdatum,0.3953531980514526
replace,replacement,0.7310214042663574,replacer,0.6307079792022705,substitute,0.591967761516571,replacewith,0.551566481590271,newstr,0.5497244000434875,gsub,0.5476663112640381,regex,0.5363080501556396,repalce,0.532037615776062,ireplace,0.5146343111991882,occurence,0.514622688293457
brought,br,0.8463218212127686,forth,0.5834460854530334,attract,0.5190851092338562,realise,0.5054523348808289,revived,0.5022032856941223,struck,0.4922875165939331,forefront,0.4735515415668487,comeback,0.4719858765602112,stayed,0.4712872505187988,emerge,0.46758633852005
unix,nix,0.7804614901542664,unix-like,0.7525055408477783,linux,0.7428736686706543,unix-based,0.6802312135696411,solari,0.6646934747695923,posix,0.6339614391326904,unix-style,0.6215035915374756,hp-ux,0.5696423053741455,cygwin,0.567936897277832,hpux,0.5655169486999512
unit,nunit,0.4464480280876159,test,0.4396206438541412,unit-test,0.4297999143600464,dunit,0.4253822565078735,subunit,0.4207350015640259,cunit,0.4187007248401642,milliliter,0.4118782579898834,unittype,0.4106332063674927,testunit,0.4046040773391723,phpunit,0.4033405184745788
logmsg,logmessage,0.6257808208465576,errlog,0.591295599937439,debuglog,0.5705535411834717,logdatum,0.5689454674720764,logv,0.5681788921356201,mylog,0.5563084483146667,logfilename,0.5522037744522095,closelog,0.5416314601898193,logpath,0.5411529541015625,writelog,0.541107177734375
tokenize,tokeniz,0.7834150791168213,tokenized,0.7395570874214172,tokenise,0.7079106569290161,tokenizer,0.7062859535217285,tokenization,0.6766551733016968,lemmatize,0.5995408296585083,nltk,0.5969863533973694,tok,0.5720768570899963,tokeniser,0.565768301486969,tokenis,0.5589268207550049
isatty,fdopen,0.5871090888977051,fileno,0.571624755859375,setvbuf,0.5396977663040161,forkpty,0.5388646125793457,freopen,0.5371321439743042,kbhit,0.5149047374725342,tty,0.5019003748893738,fcntl,0.5013570189476013,line-buffered,0.5002950429916382,fpurge,0.4872742295265198
relax,relaxed,0.8099095225334167,impose,0.6711140871047974,loosen,0.6589211225509644,stricter,0.5880159139633179,restrictive,0.5710635185241699,tighten,0.5595344305038452,weaker,0.5535460710525513,weaken,0.5490407943725586,stringent,0.5418769121170044,enforce,0.5122190713882446
hereby,licensor,0.6189135313034058,licensee,0.6056855916976929,license,0.5616424083709717,obligation,0.5385534167289734,herein,0.5383120775222778,prohibition,0.5175445079803467,licence,0.5153955817222595,copyright,0.5087133646011353,non-exclusive,0.5059810876846313,non-commercial,0.4960203468799591
hurt,harm,0.7085610032081604,sacrifice,0.6548721790313721,terrible,0.6132490038871765,improve,0.5972059965133667,suck,0.5968872308731079,bother,0.5767784118652344,detrimental,0.5702764987945557,worry,0.5696464776992798,degrade,0.5560524463653564,horrible,0.5558832883834839
midst,troubled,0.556411862373352,struck,0.5529639720916748,midway,0.5395915508270264,crisi,0.5357480049133301,despair,0.5257153511047363,ensued,0.5205109119415283,spontaneous,0.5192440748214722,embrace,0.5185213088989258,disrupted,0.5134570002555847,upheaval,0.5070462226867676
hold,held,0.5616170763969421,imp,0.5289045572280884,satisfy,0.5187680721282959,satisfied,0.5096043348312378,suppose,0.4718465209007263,proposition,0.4432331919670105,hence,0.4359367489814758,assume,0.4340759515762329,coincide,0.4207857549190521,monotonicity,0.4159967303276062
example,exmaple,0.5586161017417908,contrive,0.5077275633811951,illustration,0.4852083325386047,demo,0.4782637655735016,illustrate,0.4694578051567077,exampe,0.4515795707702636,illustrative,0.4420665204524994,snippet,0.4395040869712829,hypothetical,0.4335770010948181,made-up,0.4216765463352203
dtor,destructor,0.6813449859619141,destruct,0.6094846725463867,ctor,0.6031674146652222,cxa,0.5920731425285339,deconstructor,0.5703439712524414,vtable,0.521604597568512,copy-constructor,0.5170620679855347,vptr,0.5096637606620789,desctructor,0.5057373046875,fini,0.4907350540161133
smtp,mail,0.6896337270736694,smpt,0.650707483291626,imap,0.6128689050674438,sendmail,0.5963845252990723,mailserver,0.5761008262634277,starttl,0.5655884742736816,mailer,0.5572234392166138,mailhost,0.5562927722930908,smtpout,0.5421842336654663,gmail,0.5373182892799377
haproxy-protocol,tcp,0.5762749910354614,application-layer,0.5691744685173035,maxconn,0.5442582368850708,stunnel,0.527105450630188,spdy,0.5261327028274536,tcp-based,0.5246753692626953,protocal,0.522364616394043,ejabberd,0.5190338492393494,udp,0.5151315331459045,udp-based,0.5104082822799683
absolute,relative,0.7758587002754211,abolute,0.498491883277893,position,0.478773295879364,aboslute,0.4702174663543701,margin,0.4696052074432373,top,0.4561375975608825,postion,0.4366994798183441,solid,0.4326825141906738,positon,0.430551528930664,realtive,0.4300234317779541
downstream,upstream,0.6498277187347412,down-stream,0.5307095050811768,feeder,0.3919185996055603,backpressure,0.390871524810791,fed,0.3906068205833435,destine,0.3895453512668609,nlp,0.3861710727214813,end-to-end,0.3797228634357452,relayed,0.3761247396469116,jrunx,0.3748594522476196
